depth,measured,predicted
3501.8265,0.2795,0.2796
3501.2529,0.2742,0.2797
3499.3813,0.2773,0.2803
3498.8465,0.2776,0.2797
3500.4121,0.2753,0.2800
3501.7403,0.2819,0.2788
3501.0941,0.2755,0.2796
3501.6048,0.2791,0.2792
3503.6799,0.2769,0.2802
3501.9449,0.2768,0.2800
3501.0760,0.2771,0.2792
3501.0394,0.2733,0.2701
3503.0099,0.2761,0.2688
3502.9802,0.2721,0.2702
3500.3905,0.2649,0.2699
3502.8654,0.2768,0.2699
3500.9143,0.2725,0.2712
3502.9416,0.2707,0.2695
3500.7156,0.2702,0.2698
3504.5737,0.2710,0.2695
3502.8777,0.2680,0.2696
3503.6645,0.2740,0.2697
3501.2903,0.2831,0.2699
3505.0793,0.2619,0.2590
3504.2676,0.2677,0.2710
3502.3142,0.2602,0.2700
3501.2357,0.2678,0.2686
3501.2850,0.2777,0.2702
3503.5635,0.2589,0.2707
3505.0033,0.2609,0.2604
3503.0075,0.2542,0.2609
3503.4754,0.2722,0.2589
3504.4107,0.2578,0.2598
3504.8272,0.2503,0.2611
3503.1725,0.2583,0.2597
3504.9571,0.2587,0.2595
3503.4770,0.2577,0.2585
3502.9356,0.2670,0.2603
3507.1586,0.2654,0.2602
3505.9100,0.2623,0.2603
3505.3371,0.2553,0.2597
3505.4135,0.2602,0.2615
3505.8850,0.2632,0.2587
3504.7570,0.2578,0.2593
3505.6436,0.2644,0.2611
3506.0698,0.2566,0.2594
3507.3883,0.2584,0.2591
3507.3880,0.2581,0.2587
3505.4717,0.2423,0.2491
3506.0817,0.2558,0.2485
3504.7756,0.2477,0.2490
3505.4585,0.2543,0.2504
3508.3026,0.2553,0.2510
3508.2019,0.2499,0.2498
3508.5883,0.2449,0.2505
3507.4767,0.2515,0.2500
3509.9102,0.2531,0.2511
3506.2216,0.2537,0.2488
3509.8628,0.2562,0.2497
3506.8569,0.2632,0.2497
3507.7764,0.2582,0.2598
3506.5962,0.2638,0.2600
3506.5821,0.2566,0.2596
3505.8898,0.2551,0.2499
3509.4633,0.2692,0.2602
3507.8551,0.2525,0.2506
3506.3195,0.2577,0.2509
3509.6079,0.2470,0.2512
3509.0804,0.2557,0.2504
3509.8765,0.2516,0.2504
3509.0266,0.2357,0.2390
3508.4986,0.2425,0.2380
3510.5138,0.2405,0.2382
3511.8594,0.2496,0.2492
3508.8441,0.2594,0.2512
3509.6770,0.2487,0.2500
3509.9357,0.2460,0.2497
3510.5194,0.2637,0.2602
3511.0497,0.2597,0.2495
3508.1926,0.2582,0.2594
3510.2155,0.2608,0.2597
3510.9068,0.2688,0.2617
3509.9637,0.2561,0.2604
3512.7863,0.2662,0.2599
3511.9900,0.2610,0.2600
3512.6047,0.2567,0.2689
3513.1607,0.2645,0.2702
3511.7849,0.2752,0.2701
3513.5485,0.2542,0.2707
3511.4077,0.2668,0.2715
3510.4404,0.2584,0.2592
3510.1964,0.2564,0.2599
3509.7655,0.2563,0.2590
3511.1537,0.2568,0.2598
3512.1896,0.2636,0.2599
3514.3803,0.2645,0.2585
3513.9916,0.2546,0.2689
3514.9124,0.2598,0.2704
3514.7442,0.2740,0.2697
3514.0890,0.2682,0.2696
3515.1188,0.2705,0.2695
3512.5646,0.2719,0.2683
3511.7791,0.2681,0.2694
3514.9278,0.2754,0.2708
3512.7000,0.2727,0.2705
3511.8928,0.2648,0.2702
3514.1646,0.2632,0.2690
3513.0978,0.2667,0.2693
3512.8116,0.2707,0.2703
3516.0940,0.2639,0.2611
3512.3942,0.2670,0.2619
3516.3515,0.2616,0.2615
3515.4215,0.2521,0.2602
3515.2201,0.2698,0.2605
3516.1197,0.2678,0.2688
3516.0145,0.2597,0.2701
3517.0315,0.2718,0.2697
3515.7401,0.2702,0.2699
3514.7859,0.2689,0.2693
3515.8435,0.2770,0.2708
3517.1322,0.2723,0.2701
3515.2521,0.2751,0.2700
3514.0630,0.2626,0.2592
3515.0775,0.2511,0.2619
3516.8005,0.2571,0.2591
3517.2600,0.2524,0.2589
3514.2833,0.2541,0.2595
3516.7986,0.2639,0.2593
3517.5149,0.2599,0.2593
3516.9180,0.2673,0.2705
3518.5179,0.2680,0.2699
