depth,measured,predicted
3499.8619,91.2874,91.4118
3501.7582,91.4635,91.2938
3499.9174,90.9047,91.3062
3501.2827,91.2909,91.1110
3501.3852,90.7400,91.1540
3499.9028,90.9230,91.1812
3501.1183,91.1535,91.0773
3499.5766,91.0623,91.0028
3500.7410,91.2481,91.0573
3502.4054,90.8130,90.6768
3502.9321,89.8434,90.5303
3501.8686,90.0235,90.2370
3500.2932,89.8858,89.8971
3499.6178,89.8772,89.8568
3501.3143,90.9254,90.5407
3502.1568,90.4021,90.1083
3503.7294,89.6832,89.8173
3502.9252,89.6148,89.7540
3504.0289,89.4677,89.7350
3501.4574,89.7107,89.9291
3503.5535,89.4719,89.5651
3501.0339,89.3628,89.2682
3504.7264,89.3137,89.4598
3502.7837,90.0505,90.1909
3502.5471,89.4225,89.7576
3505.8002,90.2470,89.9135
3505.1876,88.6969,89.1851
3505.0133,88.9593,88.8509
3505.2870,88.8417,88.6640
3504.6759,88.7519,88.7405
3503.7211,88.5503,88.5856
3505.7760,88.5299,88.6753
3502.3244,88.5228,88.6146
3504.8396,88.3679,88.3864
3505.7124,88.4038,88.4100
3507.2643,89.0841,88.5720
3503.2473,88.6728,88.5644
3503.9818,88.6275,88.5867
3504.6020,88.6517,88.5471
3505.3738,88.5057,88.9050
3506.1820,88.9603,89.1136
3507.0860,88.4820,89.0253
3505.2980,88.9778,88.7090
3505.0142,88.2377,88.3540
3506.5204,88.0722,88.1845
3508.7268,87.5015,87.9609
3507.0324,87.7256,87.6346
3506.4121,87.1556,87.4080
3508.3295,87.5913,87.3964
3507.9693,87.3713,87.3491
3507.6719,87.3885,87.1030
3507.6087,87.2248,87.3567
3507.2551,87.8113,88.2403
3506.0250,88.4505,88.2181
3505.7936,87.9197,88.1535
3507.6062,88.1235,88.4387
3508.7376,87.9213,88.4407
3508.5122,88.3936,88.2934
3510.3556,88.0907,88.0899
3509.5795,88.2489,88.3033
3509.5301,87.7615,87.9696
3508.0682,87.9037,87.8354
3509.5334,87.5541,87.7788
3507.9339,87.9587,87.7581
3509.5725,87.7950,87.7136
3508.3684,87.0809,87.4873
3510.6880,87.2086,87.0156
3509.2332,86.9712,86.6930
3510.0341,86.3486,86.5378
3508.7174,86.5099,86.5378
3510.3243,86.9226,86.5971
3511.6878,87.5464,87.2928
3510.6782,87.3582,87.4557
3510.1277,87.0828,87.3642
3509.3024,87.6286,87.5472
3511.1548,87.9836,88.3611
3510.1053,89.6484,89.1336
3508.8460,88.4719,88.0643
3508.3724,89.0403,89.1213
3511.3822,89.2978,89.3104
3510.2063,89.4884,89.4526
3509.0515,89.7784,89.7010
3513.1820,89.8765,89.9371
3512.3647,90.0327,90.0362
3511.9748,90.2395,89.6825
3510.9248,89.4035,89.5401
3509.7463,89.1311,89.5499
3514.2962,89.5114,89.5712
3511.1577,89.6070,89.4302
3511.2506,88.5687,89.2348
3513.1929,88.9881,89.2522
3511.8531,89.3183,89.2934
3512.9814,89.6857,89.7791
3512.3703,89.5716,90.0333
3514.9474,90.5675,90.4751
3514.2885,90.3469,90.5391
3513.8083,90.4366,90.6240
3512.1664,90.6243,90.6270
3512.4574,90.6185,90.5924
3513.5763,90.9312,90.7002
3512.3524,90.4396,90.7197
3514.5685,90.3525,90.5582
3513.2938,90.4875,90.0759
3514.4159,89.1422,89.6984
3513.0361,88.8146,88.7381
3512.1034,89.0190,88.8309
3513.3822,88.5174,89.0406
3517.6187,89.4733,89.2189
3517.3040,89.7907,90.1287
3515.7158,90.5020,90.3017
3517.1624,90.4563,90.2787
3515.6008,90.3057,90.3497
3515.2670,90.6897,90.5375
3514.7973,90.3067,90.6705
3514.4685,91.0228,90.8068
3514.7066,90.4097,90.6985
3515.3408,90.0172,90.3802
3517.9079,89.4032,89.8419
3517.5091,89.5936,89.7550
3516.1112,89.9950,89.7857
3516.6595,90.0578,89.8866
3519.1099,89.8946,89.7616
3519.5674,89.7622,89.8720
3517.5415,89.7072,89.9577
3518.5629,89.4108,89.9147
3518.3243,89.9546,90.0229
3519.1489,89.7268,89.9238
3518.7470,89.7840,89.9819
3520.1041,89.8388,90.1539
3517.4945,89.7229,90.0582
3519.5051,89.1428,89.5611
3516.8842,89.1756,89.4902
3520.0745,89.1227,89.4735
3518.3805,88.8370,89.3763
3518.8607,89.2968,89.3733
3518.4665,89.0743,89.2977
3518.3513,89.1910,89.0939
3519.0683,88.5867,88.9804
3518.3299,88.3686,88.8125
3519.9250,88.9373,88.8839
3517.4229,88.8126,88.9330
3521.4120,88.6561,88.1164
3521.0932,87.9457,88.0869
3518.3245,88.1355,88.3052
3521.7432,88.1855,88.2810
3518.3137,88.4189,88.2029
3519.2656,88.0482,88.3045
3519.1216,88.4983,88.0562
3520.6307,88.4588,88.0950
3521.3693,88.5275,88.1063
3520.9411,87.7886,87.5153
3520.5851,86.5442,86.7249
3522.9786,86.5543,86.8842
3521.5504,87.2838,86.8911
3521.7824,86.8263,86.8231
3522.2649,86.5804,86.9054
3520.2677,87.6840,86.8120
3520.8011,86.7531,86.9640
3523.4352,87.5740,87.3975
3522.6787,87.5381,87.3263
3521.8113,86.9080,87.3604
3520.7686,87.3733,87.3664
3523.2175,87.4263,87.4621
3525.0331,87.4943,87.3802
3522.1292,87.4573,87.4942
3522.2120,87.5963,87.4220
3521.1258,87.0190,87.4053
3523.9528,87.4526,87.4631
3525.2778,87.0248,87.5369
3522.3489,87.4724,87.5044
3522.8523,87.2223,87.4415
3522.8808,87.2317,87.4611
3523.8220,87.7113,87.4064
3524.7699,87.4184,87.4969
3523.6692,86.9410,87.3932
3525.6582,87.2708,87.3979
3525.7627,87.5764,87.6031
3524.4809,88.1127,87.6247
3521.9573,87.4317,87.5638
3523.2765,87.4482,87.6218
3526.0292,87.5412,87.5854
3525.4802,87.3828,87.5316
3525.0872,88.5874,88.0397
3525.2986,88.6618,88.4861
3524.2764,88.8165,88.6268
3525.1383,88.4106,88.7253
3526.8046,88.5635,88.7148
3527.8613,88.5976,88.5880
3528.1801,88.1887,88.5438
3525.1027,89.1928,88.5360
3525.8463,88.3400,88.5678
3527.0868,88.5059,88.3272
3527.4068,87.8092,88.4709
3525.5140,88.0768,88.2037
3527.2213,88.1518,88.2476
3527.3389,88.7885,88.5028
3526.4809,88.7309,88.5549
3527.9210,88.5235,88.5717
3527.3152,88.1585,88.6483
3527.3286,88.0343,88.7684
3528.1184,88.9130,88.8181
3525.2296,88.1670,88.3143
3527.4318,87.1143,87.4400
3527.9602,86.8369,87.1100
3526.2145,87.4166,87.5962
3530.0216,87.3522,87.8293
3528.6044,87.6168,87.7690
3525.4213,87.6988,87.5026
3526.8857,87.3957,87.4301
3529.8821,87.4866,87.4443
3529.6469,87.2665,87.3271
3531.8139,87.3343,87.3201
3530.1291,87.3975,87.3247
3527.9293,87.2381,87.4101
3529.9880,87.1796,87.1472
3531.8192,87.5380,87.1452
3529.2342,87.1163,87.2082
3530.9527,87.1891,87.4681
3530.4851,87.2938,87.6193
3528.4760,87.9087,87.6225
3530.3071,88.7098,88.3834
3531.0753,89.2641,89.5366
3531.7243,90.0814,89.9619
3529.8764,89.8870,90.0146
3528.9688,89.8293,90.2456
3531.2555,89.9909,90.5576
3529.3992,89.9274,90.2519
3530.8700,89.3835,88.9329
3529.4591,87.6239,87.5759
3530.7303,87.7861,87.4160
3531.8051,87.2820,87.7128
3530.8711,87.4994,87.6645
3530.1896,87.7091,87.7263
3534.4734,87.5582,87.7656
3532.6129,88.4808,88.1344
3531.4394,88.3481,88.5487
3534.8550,88.8414,88.7395
3531.0498,89.0599,88.8085
3531.5664,89.2315,88.7645
3533.4100,88.5089,88.7817
3534.2643,88.3721,88.5036
3531.1395,88.0127,88.0810
3532.1167,87.5560,87.6290
3532.8205,87.9720,87.7194
3532.3646,87.7170,87.7005
3534.9802,87.9365,87.7012
3533.0138,87.7237,87.7078
3535.6092,87.7137,87.8019
3532.7926,87.9078,88.0788
3534.1410,89.2348,88.6875
3534.2252,88.6485,88.9700
3534.8395,88.5471,88.8737
3534.8995,88.6537,88.9116
3534.9777,89.3000,88.9575
3533.9429,89.0087,88.8451
3535.6995,88.5350,88.8250
3536.8449,88.7589,88.5992
3533.9564,88.4209,88.3716
3532.7506,88.7268,88.5125
3536.4732,87.8566,88.5593
3536.4970,88.5055,88.3636
3535.7866,88.2949,88.3907
3537.9885,88.6739,88.4322
3535.7773,88.3040,88.4850
3534.7419,88.2928,88.5349
3536.1082,87.9382,88.5643
3537.4852,88.7203,88.5080
3537.1168,88.5265,88.4734
3535.7368,88.1997,88.3613
3537.5678,88.9204,88.6364
3536.5742,88.6569,88.9699
3537.7597,89.2253,89.1006
3534.6984,89.4739,89.5241
3536.9756,89.3381,90.0307
3537.5448,89.2906,89.7484
3539.6762,89.6983,89.3879
3536.3070,89.1715,89.4371
3536.2690,89.0291,89.2141
3537.9621,88.0201,88.6378
