depth,measured,predicted
3499.1583,18.0515,17.7490
3499.7379,17.8559,17.7349
3501.3981,17.4605,17.8741
3501.0793,17.2507,17.7863
3502.4070,17.2936,17.5899
3503.0816,17.5518,17.6419
3499.5306,17.7137,17.6891
3499.6565,17.7202,17.6758
3501.8402,17.4824,17.7256
3502.9983,17.7147,17.6240
3501.1628,17.7025,17.5694
3500.6063,17.4795,17.6491
3503.5402,17.6017,17.5928
3501.2876,17.6063,17.6712
3501.4507,17.6924,17.6144
3502.0179,17.3130,17.4096
3501.3172,17.0951,17.3986
3503.0186,17.4328,17.3682
3503.1215,17.0828,17.2762
3502.3386,16.8277,17.2035
3504.7904,16.8609,17.2037
3502.9015,17.3828,17.2310
3501.6673,17.8067,17.5472
3505.2768,17.5883,17.5945
3503.5143,17.6674,17.6648
3504.7489,18.1332,17.7360
3503.7823,18.0217,17.8042
3505.5198,18.2323,17.9221
3505.9310,18.1139,18.0670
3503.6998,17.8803,18.1154
3502.7389,17.8615,18.1937
3503.2178,18.1178,18.2469
3502.6524,18.4126,18.2693
3506.0624,18.3375,18.3445
3504.0350,18.4940,18.3946
3503.6049,18.2685,18.3396
3505.8004,18.5965,18.5179
3504.4272,18.1262,18.4192
3505.8554,18.3652,18.3812
3505.5551,17.9957,18.4188
3505.7396,18.4172,18.4030
3506.1366,18.5390,18.3471
3505.0796,18.4894,18.4141
3505.5570,17.7480,18.2798
3504.8526,18.4268,18.1927
3507.3144,18.7574,18.2752
3505.1693,18.2608,18.2877
3504.2077,18.8669,18.2818
3503.8095,18.5261,18.2004
3505.6553,18.1962,18.3942
3505.5298,18.6287,18.3625
3506.6054,18.2831,18.2194
3504.9361,17.8833,18.1894
3505.2167,17.9349,18.1639
3507.7452,18.3783,18.0621
3505.9481,18.4118,17.8442
3506.9418,18.0524,17.6907
3506.8139,17.5303,17.7401
3506.7016,18.0211,17.7074
3508.0527,17.9016,17.7747
3506.0160,17.8021,17.7137
3510.5991,18.2334,18.1053
