depth,measured,predicted
3501.5847,42789.4150,42948.8935
3499.5792,43124.6091,43017.5362
3500.2649,42778.9153,43063.5812
3501.4578,44000.5584,42918.9541
3499.1416,43433.0712,42776.8303
3499.8689,42472.9182,42560.0468
3502.2760,42466.1390,42471.4942
3501.7641,41562.2265,42736.3570
3500.5134,42597.9456,42672.8267
3500.1690,42157.7979,42550.4750
3501.3566,42276.6601,42449.6450
3500.6948,43313.3393,42260.6853
3502.7449,41947.5076,42098.2418
3501.1889,42784.8335,42294.4914
3502.7686,41982.5759,42056.0636
3501.7747,41931.9112,41978.2330
3503.7619,40998.0516,41675.9887
3503.8328,42103.5752,41385.0771
3499.7595,41098.3591,41532.0631
3504.3013,40503.8710,41140.8293
3500.2418,41486.5600,41300.2077
3500.9522,40888.1113,41455.0657
3502.2961,41588.9417,41906.7970
3502.7365,41763.8398,42296.7978
3502.4638,42404.7486,42602.5203
3505.9559,43428.7693,42416.1124
3506.1360,42819.9505,42591.1100
3504.6875,43266.4793,42746.7297
3504.6755,41890.1326,42988.7099
3502.2645,44010.7374,43209.4198
3503.7001,43700.4158,43248.1850
3504.2038,43647.3550,43334.5952
3504.4824,43239.7923,43397.1181
3502.5747,44562.2053,43522.5625
3502.9372,44022.6733,43560.8800
3503.9912,43725.4181,43502.8581
3505.1117,43396.4387,43681.4466
3503.0480,44430.3529,43779.3348
3506.5339,43711.0929,43675.7723
3504.0114,44113.4161,43866.1580
3503.8813,43792.4094,43756.8397
3504.7292,43205.2386,43528.9943
3506.2108,43184.2474,43182.7877
3504.1143,44613.0818,43097.3759
3504.3850,44137.3688,43416.4263
3506.6005,43099.5352,43166.0075
3506.4941,43642.5057,43206.2629
3507.0472,44099.5678,43230.6698
3505.4575,42786.2305,42948.7374
3509.6855,43363.5631,42510.7676
3505.6074,41370.5050,42150.5916
3509.3568,42368.3991,41738.7368
3508.3822,41253.9024,41923.1404
3508.7098,41687.3110,42244.9306
3506.3200,42521.2685,41957.1784
3507.0829,42005.8295,42400.3716
3507.7662,42167.0162,42462.7513
3509.6323,43002.2048,43001.3181
3508.0753,43671.0591,43212.8737
3509.2739,43234.5902,43092.9528
3507.3892,41935.2990,43353.2245
3508.8078,44657.3236,43312.3045
3508.1924,43852.6814,43369.0062
3510.0150,42790.8798,42994.7513
3508.4369,42888.1703,43020.2307
3510.7016,42168.2828,42446.7328
3509.9850,42390.9323,42426.4889
3511.7017,42761.1988,42323.6975
3508.9105,42069.6155,42101.7699
3509.6687,42510.7992,42244.0979
3510.4871,43614.5597,42247.3464
3508.9775,42289.7887,42215.4030
3510.8352,40595.9022,42839.2729
3511.1503,44319.0605,43975.6991
3509.9082,44408.2987,44450.5803
3511.6799,44009.6922,44553.5611
3510.2489,43756.4416,44419.9695
3509.5760,45756.5762,44628.2036
3510.4328,44927.7972,44640.3181
3512.3826,44073.2561,44492.2045
3511.2227,44286.3105,44267.4543
3513.0076,43371.6534,43799.8565
3511.6319,43720.1979,43525.4938
3511.7352,43484.7759,43254.0609
3512.7543,43595.0864,43069.5293
3510.4657,42988.6467,42994.6759
3511.2729,43063.7733,42993.7780
3513.1184,42419.9486,43139.5354
3512.2852,43523.0468,43107.6221
3510.3150,43289.6473,43055.6100
3514.2585,42971.6613,42497.9964
3512.2174,41580.9900,42346.7066
3512.1371,44033.7448,42792.9514
3513.3031,43650.5755,42774.8381
3512.8995,41087.1521,42073.2396
3512.6855,41508.8079,41878.6432
3512.5213,41904.5457,41689.0331
3513.5859,40840.2699,41335.6067
3514.9622,42477.8230,41631.0603
3512.3049,42459.3616,42071.2206
3513.2856,42971.8063,42994.3378
3512.3422,43207.6050,44496.1845
3515.8100,45880.7101,44909.1566
3513.6233,46365.0043,45681.8439
3513.6752,46919.6584,46290.1422
3514.9198,47434.8487,46415.9550
3513.8368,46365.1355,46614.9969
3515.4976,47401.9004,46573.6889
3516.0468,46553.4366,46518.9838
3514.8623,45819.5340,46163.4462
3515.2155,46234.1387,45780.2474
3514.2387,45421.3141,45538.9981
3517.3167,45123.0891,44977.1410
3514.8237,43904.6801,44195.0192
3515.2773,43199.5201,44241.6504
3516.7523,42525.8444,43739.3672
3518.6871,43997.4553,43195.6887
3517.6428,43535.9752,43475.0501
3516.2372,43913.1547,43662.5890
3515.4115,42267.5308,43438.9473
3516.4817,43856.8398,43622.2907
3517.9425,44251.4621,43506.4611
3517.7430,43905.3366,43607.0041
3517.4829,43539.0161,43644.8264
3518.6176,43736.9349,42911.0006
3520.1776,41925.3929,41970.7196
3520.0290,41394.1149,41860.4514
3517.5111,41969.3401,41759.6646
3521.0808,41750.6527,41616.7169
3518.5571,41305.9161,41967.2590
3517.4929,42854.6403,41825.3869
3517.4654,42444.4333,41857.9221
3520.0429,41681.7162,41801.4483
3516.6309,42659.5098,41714.8391
3519.2694,41947.3233,41825.7304
3518.6672,42356.1230,41857.1918
3517.8366,41302.4167,41775.8372
3519.3491,41416.3541,41934.9367
3521.5076,42093.5291,41958.0279
3519.3069,41509.3628,41716.6114
3520.2134,41829.5425,41890.2431
3521.1460,41469.2761,42042.2186
3518.2311,41945.7866,41833.7758
3520.0830,42301.5873,41705.9275
3519.5506,42083.0053,41550.3279
3520.5578,40326.3438,41273.9229
3518.5175,40013.6053,40712.3984
3522.2327,40832.8717,40351.5530
3519.4272,39284.2272,40361.8486
3521.1280,40020.9955,40215.9228
3522.9525,40792.3987,40199.1486
3523.5272,41146.6902,40422.6412
3522.0780,41000.9792,40539.4794
3523.1734,41014.5481,40696.0330
3524.0948,41703.7617,40917.5794
3521.2924,39688.2902,40658.3945
3525.0351,41711.2836,40587.9029
3522.9314,39796.3681,40465.9048
3521.5318,41651.0957,40474.3980
3522.8044,40641.8024,40414.7851
3524.7227,41658.7607,40505.3534
3524.2394,41874.0966,40277.9089
3522.7137,39159.3193,40049.6674
3524.3876,40332.3431,39755.3872
3523.9552,38307.3200,39648.7678
3522.0186,39798.9766,39720.0818
3525.3698,39766.8838,39817.6324
3521.9512,40522.1163,39676.0983
3524.1603,39938.2975,39690.4294
3522.6898,39271.5546,39686.7494
3524.1712,39146.9788,39818.6367
3523.1611,39945.3165,40004.3199
3523.2721,40362.4531,40029.1198
3525.4586,39893.8670,39838.4381
3523.9510,39702.3315,40453.2848
3524.6024,42106.0143,40343.6310
3523.0628,40232.2703,40451.5594
3523.6666,40857.7037,40214.7624
3524.8982,40728.6265,40252.7803
3526.9091,39846.6822,40323.0971
3524.4017,40146.4745,40030.7472
3524.8608,39145.8387,40115.5207
3526.9126,40628.6618,39992.3815
3527.5092,39487.7772,40051.5582
3526.9652,41622.9771,40482.3763
3525.8630,40867.4575,40683.5786
3525.8481,40862.7226,40824.6124
3527.0784,40821.9462,40845.9140
3526.1090,41831.3917,40652.6085
3525.0564,39984.2163,40650.6520
3526.3339,40699.2512,40594.4422
3527.4713,41597.6252,40597.6872
3528.9377,40708.1530,40405.7833
3525.8486,39852.0665,39942.3290
3526.8046,37794.2299,39686.9016
3527.1205,40461.0631,39054.5278
3529.4852,39021.8450,38958.7042
3529.0406,38876.1602,38831.4581
3527.8033,39190.6795,38763.5445
3527.9946,37783.8635,38258.1884
3526.6379,38539.9576,38108.0560
3526.9903,37720.3294,38072.6649
3530.1767,39469.5611,38216.4851
3529.1690,37651.6265,38408.1198
3531.4482,37709.0434,38464.4438
3529.1163,38586.4354,38484.4197
3530.9905,38454.5219,38364.0785
3529.1559,38732.2133,38674.3216
3530.9089,38603.0692,38775.4770
3529.3374,37918.9729,39006.7853
3531.2492,38542.9436,38929.1935
3532.5340,36682.2940,38120.3121
3530.0081,37505.1934,37960.9146
3531.4827,38332.7418,38100.0367
3532.8989,38455.9603,38177.6889
3532.9682,38496.2565,38883.9784
3529.3285,39688.7892,39865.7512
3531.1810,40432.3084,40583.4271
3530.0056,41296.6348,41870.4985
3532.9418,41316.9891,41870.6243
3533.5400,41821.6454,41918.9173
3533.8378,40588.1638,41919.9413
3531.4568,42395.7806,42143.1370
3532.8098,41391.4477,42272.3424
3531.7546,42135.1084,41694.1182
3532.3951,41751.5220,41250.1655
3530.4116,40162.6134,40801.4140
3531.5230,41090.6248,40373.8915
3534.5968,40801.9169,40284.4425
3531.6083,39509.5839,40321.8588
3533.6364,41016.5422,40437.1662
3533.5859,40561.6685,40363.2766
3530.9774,39419.3490,40389.2226
3531.3088,40969.8804,40353.2259
3535.3156,40327.7891,40563.3220
3534.1904,40455.4513,40420.5116
3534.8483,40387.9022,40577.9715
3533.9615,40452.9509,40950.1886
3533.0532,42129.5781,40933.6262
3533.0388,41495.1294,41252.3183
3532.3809,40794.3079,40948.6025
3533.5103,40529.3469,40583.5233
3535.5628,40133.1424,40510.9652
3533.8417,40915.4432,40351.5389
3536.2719,40636.1969,40416.2631
3535.5152,41023.3947,40367.9681
3535.0462,41104.4921,40393.0763
3536.5547,40434.0513,40461.3841
3536.7052,39367.8918,40230.7681
3532.2850,40403.4110,40222.0549
3535.3786,41090.2164,40233.3799
3537.1178,39567.1252,40156.3223
3537.3638,40240.6694,40239.6449
3536.0291,40265.1267,40107.4811
3536.0502,40871.7984,40238.7138
3535.5794,40357.1658,40503.4160
3537.7083,40843.8866,40950.8351
3534.8679,40070.2495,40331.8716
3535.7783,38855.4388,40179.3926
3534.8233,39958.8061,39893.4466
3539.0163,39526.5823,39388.1192
3537.2606,39725.9895,39112.2739
3535.6857,38573.9675,38742.9452
3539.6165,38556.7551,38601.8979
3538.5629,38465.4470,38601.9786
3537.5961,38729.9978,38548.5733
3538.4442,38539.4103,38360.8700
3540.6946,37268.8142,38328.5149
3535.7324,37785.8779,38355.6671
3537.8228,37887.0072,38565.8350
3539.4842,39081.0292,38292.0915
3536.6677,38503.9498,38473.4699
3540.8482,38765.7172,38365.8200
3538.4825,37741.0032,38633.3781
3537.8474,38866.0595,38495.7195
3537.0777,39033.2343,38441.3224
3539.3515,38735.4969,38627.0839
3541.1824,39190.4146,38829.1240
3539.6848,39134.2108,38581.3361
3538.2954,38435.5672,38316.7655
3540.2295,38792.7031,38336.2435
3540.5706,38496.9830,38342.4422
3539.4095,39392.5480,38511.1690
3538.8609,38874.4093,38510.9441
3541.6949,38971.4068,38501.2902
3540.2964,39319.6328,38337.3016
3542.5512,38873.0932,38383.0961
3542.9242,37695.0175,38167.5433
3539.5075,38053.8995,38324.7911
3541.1989,37734.9978,38376.7779
3541.1983,38421.0738,38497.5695
3542.0619,38207.9716,38608.8024
3541.4464,37719.0141,38898.6318
3542.5939,39181.1128,38718.6665
3540.5941,38284.2221,38642.9489
3540.7514,39086.6528,38534.0411
3542.8699,38330.9761,38845.7998
3541.4703,39316.0753,39211.3872
3541.1389,38512.6489,39446.0602
3541.7964,39029.1481,39443.4830
3543.1989,39738.5486,39338.5663
3541.2124,40366.8055,39707.6723
3542.3713,40643.3384,39767.4710
3540.8712,40703.2816,39891.6338
3543.6530,40478.6171,39831.1427
3542.6481,39122.7305,40080.3889
3542.6211,40546.1492,40247.6983
3545.2834,40521.1950,39897.3233
3540.9463,39709.7587,39658.8094
3544.7400,39953.9440,39525.1530
3545.3736,40057.9645,39317.5651
3546.1645,40317.3866,39191.4671
3541.7699,39555.3665,39325.7565
3542.1293,39672.9301,39596.2592
3542.8649,38666.0581,39134.7586
3544.5072,39873.9384,39467.4894
3543.0607,39871.4257,39565.6973
3545.9713,39034.7025,39797.5760
3544.4736,40023.0671,39356.4967
3548.0325,38218.4827,39392.9285
3546.0370,39416.3779,39193.6768
3546.6997,40181.3622,39622.8691
3545.4902,40141.5171,39602.5815
3545.9301,40092.3545,39636.1031
3547.8047,39406.0592,40094.9418
3545.5758,40237.6244,40465.6264
3547.0065,40417.4131,40789.2800
3546.4520,40555.1219,40787.2071
3544.5895,39953.1198,40540.3901
3546.2740,39147.0509,40112.2081
