depth,measured,predicted
4022.2105,0.3363,0.3394
4023.3437,0.3371,0.3408
4021.9542,0.3527,0.3507
4022.1882,0.3475,0.3497
4025.5774,0.3430,0.3499
4021.4435,0.3490,0.3493
4023.0681,0.3509,0.3484
4022.1115,0.3323,0.3311
4024.5988,0.3238,0.3199
4024.0185,0.2761,0.2725
4024.4908,0.2513,0.2488
4025.8848,0.2362,0.2399
4025.2926,0.2253,0.2304
4024.4251,0.2281,0.2291
4022.5778,0.2406,0.2407
4026.3884,0.2633,0.2611
4024.9908,0.2636,0.2694
4025.3534,0.2956,0.2912
4024.5792,0.3060,0.3013
4024.8918,0.3121,0.3098
4024.9191,0.3416,0.3399
4028.1119,0.3424,0.3398
4026.4787,0.3523,0.3497
4026.3304,0.3600,0.3504
4024.9782,0.3431,0.3408
4025.6433,0.3436,0.3394
4022.9402,0.3323,0.3296
4025.0945,0.3226,0.3182
4025.3790,0.3223,0.3101
4027.0144,0.2958,0.2999
4028.0960,0.2910,0.2906
4026.3919,0.2782,0.2804
4026.2706,0.2787,0.2712
4028.9135,0.2692,0.2702
4025.5246,0.2679,0.2684
4028.2231,0.2753,0.2800
4027.6642,0.2798,0.2803
4028.8783,0.2798,0.2802
4026.0622,0.2786,0.2803
4025.1436,0.2848,0.2892
4027.4127,0.2965,0.2899
4025.6083,0.2914,0.2896
4028.5048,0.2915,0.2917
4030.4339,0.2881,0.2905
4028.3200,0.2958,0.2893
4029.1146,0.2889,0.2921
4026.7628,0.2922,0.2896
4026.2208,0.2838,0.2898
4027.2680,0.2931,0.2896
4029.2674,0.2842,0.2904
4027.2100,0.2947,0.2895
4027.5337,0.2931,0.2901
4029.2477,0.2891,0.2905
4027.9030,0.2896,0.2902
4031.1307,0.3026,0.3004
4027.5958,0.2994,0.3000
4027.8868,0.2952,0.2988
4029.6612,0.3107,0.3104
4031.0666,0.3121,0.3214
4029.1922,0.3195,0.3199
4030.2568,0.3213,0.3193
4031.1829,0.3243,0.3201
4030.4678,0.3201,0.3111
4028.4643,0.3077,0.3107
4029.6428,0.3180,0.3103
4029.5955,0.3217,0.3208
4028.2916,0.3191,0.3184
4030.1255,0.3265,0.3308
4029.4860,0.3290,0.3307
4030.1816,0.3267,0.3308
4029.6034,0.3337,0.3304
4029.5570,0.3303,0.3299
4029.0365,0.3262,0.3187
4032.7740,0.3193,0.3210
4032.3259,0.3175,0.3204
4032.1179,0.3083,0.3100
4031.9761,0.3065,0.3087
4031.9087,0.3159,0.3093
4031.6002,0.2932,0.3009
4032.4140,0.3063,0.2997
4031.1425,0.3023,0.3007
4033.6412,0.2877,0.2891
4033.8637,0.2873,0.2901
4033.6185,0.3005,0.2896
4033.7158,0.2929,0.2903
4033.0224,0.2937,0.2904
4033.6493,0.2901,0.2897
4031.2310,0.2876,0.2912
4031.8318,0.2977,0.2896
4033.5711,0.2930,0.2915
4034.4475,0.2901,0.2789
4034.0235,0.2828,0.2816
4032.6874,0.2811,0.2811
4031.3985,0.2778,0.2801
4031.5514,0.2767,0.2790
4033.6302,0.2770,0.2800
4034.5619,0.2899,0.2897
4034.2927,0.2908,0.2936
4033.2726,0.2963,0.2990
4034.0448,0.3066,0.3003
4032.4238,0.2991,0.3000
4035.6374,0.2999,0.2998
4034.4260,0.3044,0.2996
4035.5776,0.2942,0.2911
4037.2441,0.2916,0.2893
4035.9124,0.2854,0.2902
4033.4034,0.2968,0.2898
4035.9087,0.2927,0.2910
4034.9532,0.3023,0.2907
4035.5747,0.3004,0.3000
4034.8215,0.3082,0.3084
4034.9233,0.3130,0.3091
4037.1888,0.3229,0.3198
4035.9104,0.3161,0.3211
4033.9296,0.3271,0.3211
4035.7221,0.3182,0.3198
4036.6777,0.3275,0.3190
4034.9532,0.3219,0.3190
4036.3786,0.3225,0.3199
4037.9867,0.3102,0.3200
4037.8988,0.3288,0.3198
4035.4808,0.3108,0.3111
4037.1460,0.3132,0.3091
4036.2703,0.3145,0.3093
4035.9715,0.3046,0.3083
4035.5289,0.3155,0.3113
4037.9199,0.3143,0.3097
4036.1414,0.3031,0.3088
4035.8641,0.3049,0.3097
4038.9626,0.3169,0.3203
4035.3235,0.3210,0.3194
4038.4425,0.3182,0.3204
4035.8651,0.3201,0.3205
4036.8335,0.3152,0.3200
4036.8569,0.3268,0.3206
4039.4221,0.3161,0.3095
4036.5177,0.3084,0.3108
4038.2810,0.2963,0.3001
4040.2615,0.3024,0.2999
4038.4790,0.2936,0.3002
4040.5068,0.3001,0.2996
4041.2460,0.2982,0.3002
4039.8057,0.3022,0.2997
4036.7823,0.2989,0.2986
4038.1427,0.2978,0.2996
4037.1615,0.3041,0.3008
4038.1249,0.3028,0.2996
4039.6503,0.2935,0.3012
4038.4347,0.3088,0.2986
4039.4648,0.3060,0.3011
4040.0179,0.2793,0.2901
4040.3067,0.2912,0.2894
4038.9597,0.2936,0.2918
4040.3896,0.2811,0.2807
4039.5569,0.2778,0.2814
4037.7892,0.2713,0.2805
4041.5749,0.2751,0.2796
4040.5293,0.2847,0.2823
4039.5531,0.2953,0.2904
4040.5159,0.2916,0.2901
4039.7230,0.2931,0.2895
4040.2953,0.2902,0.3008
4040.7530,0.3031,0.2998
4038.5929,0.3034,0.3102
4040.6500,0.3124,0.3093
4041.7668,0.3022,0.3093
4043.6495,0.3129,0.3104
4042.0460,0.3099,0.3092
4041.5858,0.3127,0.3105
4040.1620,0.2973,0.2999
4039.9044,0.2964,0.2989
4039.9104,0.3004,0.3016
4043.5486,0.2979,0.2899
4039.6952,0.2904,0.2910
4044.0942,0.2824,0.2892
4042.1086,0.2817,0.2899
4043.3567,0.2916,0.2894
4041.9170,0.2806,0.2911
4042.3104,0.2905,0.2910
4043.9859,0.2895,0.2911
4042.4640,0.2932,0.2897
4042.0608,0.2933,0.3008
4042.8567,0.3003,0.2990
4040.5697,0.3060,0.3002
4044.1978,0.3056,0.3004
4042.8745,0.3116,0.3104
4042.8488,0.3085,0.3089
4044.0226,0.3046,0.3093
4043.3086,0.3159,0.3093
4044.8573,0.2988,0.3108
4043.7113,0.3093,0.3091
4042.9538,0.3083,0.3120
4042.3550,0.3152,0.3098
4043.6875,0.3045,0.2995
4042.8036,0.2961,0.3002
4044.3685,0.2967,0.3004
4046.4293,0.2852,0.2911
4044.0748,0.2962,0.2887
4043.5019,0.2861,0.2796
4044.0592,0.2831,0.2823
4045.9308,0.2857,0.2805
4044.2731,0.2738,0.2788
4044.2271,0.2838,0.2816
4044.7351,0.2827,0.2798
4043.6668,0.2876,0.2916
4045.6681,0.2935,0.2883
4045.5779,0.2976,0.2995
4044.9561,0.2943,0.3001
4043.6467,0.3018,0.2978
4045.8756,0.2899,0.2902
4047.1321,0.2988,0.2912
4045.9755,0.2770,0.2794
4045.5863,0.2626,0.2714
4046.4337,0.2679,0.2684
4047.9461,0.2736,0.2701
4045.1382,0.2743,0.2695
4044.7849,0.2596,0.2591
4045.6159,0.2678,0.2588
4045.8574,0.2535,0.2589
4048.8702,0.2456,0.2588
4048.1243,0.2582,0.2605
4048.3699,0.2516,0.2503
4047.2730,0.2606,0.2593
4046.2213,0.2619,0.2594
4047.4296,0.2662,0.2601
4046.7661,0.2498,0.2601
4045.4775,0.2726,0.2688
4047.0143,0.2685,0.2701
4047.4660,0.2724,0.2692
4048.9065,0.2596,0.2716
