depth,measured,predicted
4023.7098,124.5043,123.9730
4025.5212,121.9280,122.7695
4023.1940,121.9130,121.3272
4022.8228,118.9308,119.8727
4022.5675,118.1407,117.9189
4023.4149,116.1377,115.9864
4024.1876,115.7500,114.3231
4024.9193,112.5956,112.2826
4024.2302,111.8661,110.9107
4024.8459,109.4860,109.8471
4025.0344,108.5816,108.8680
4024.2337,108.6211,108.9096
4024.1680,107.1570,107.4762
4025.5530,100.4851,100.5865
4025.1802,98.4779,98.1720
4025.4370,100.3653,99.8003
4027.5661,98.3721,99.1807
4027.8508,99.6727,99.2326
4027.2887,99.0154,99.1042
4026.6316,98.9938,99.5951
4026.4814,99.6862,100.5446
4025.4428,99.2002,101.4129
4024.9581,100.5815,102.2677
4028.2331,101.1591,103.0760
4028.2230,102.5928,103.1276
4026.3471,103.6722,103.6956
4025.4828,102.6637,103.9120
4025.1800,103.7916,104.0434
4027.9773,104.4531,104.0901
4026.5177,104.0484,104.0913
4028.0115,104.5029,103.9662
4028.4849,103.2369,104.2161
4025.3579,103.6394,104.1949
4028.4656,104.9562,104.6484
4025.9132,104.8560,104.7402
4027.9226,103.2998,104.6113
4027.6076,104.9826,104.5715
4026.5572,103.1475,104.2183
4029.1469,104.8920,104.3728
4029.4845,103.8062,104.1989
4028.2085,103.8946,104.1220
4026.9560,103.6829,104.0860
4029.3089,103.1104,104.0549
4027.9428,103.5898,104.2307
4027.9822,103.6038,103.6493
4029.2221,102.3852,103.5474
4030.2756,103.2285,103.4383
4029.6146,103.6492,103.2483
4030.7932,103.1332,102.9664
4028.2283,102.3599,102.6135
4030.4907,101.1472,101.2920
4027.5466,99.3729,99.4666
4031.5204,97.7874,99.7778
4031.4369,98.9378,99.6600
4027.8405,97.6279,99.3501
4029.1679,99.4410,99.3860
4029.4208,98.6966,99.5240
4029.5353,98.8999,99.4853
4031.4916,99.5026,99.4497
4029.9683,99.0479,99.8312
4031.6105,99.8948,100.5215
4029.3154,101.5222,100.5955
4030.5201,101.4293,101.1125
4031.5864,101.2275,101.3522
4031.9519,101.2353,101.3662
4032.6687,101.3022,101.0997
4030.7533,100.1268,100.5523
4030.0036,99.7515,100.3898
4029.7050,99.6993,99.6878
4030.9378,99.0209,99.6108
4032.9178,99.6300,100.0844
4031.5376,99.5622,100.5245
4033.4546,100.2124,100.9154
4032.3990,101.1541,101.1778
4032.6898,99.1730,101.1847
4034.0193,100.8882,100.9671
4033.1505,101.8799,101.1481
4033.4842,100.5617,101.2970
4031.0488,99.6585,100.7976
4030.5607,100.2798,101.3017
4033.4293,101.9214,102.0217
4033.8568,100.9050,101.6546
4031.7641,102.6173,102.0328
4031.8662,103.2195,102.5904
4031.6427,102.3660,102.9703
4032.6019,103.2572,103.5144
4034.0316,105.7110,104.4995
4035.2524,104.5263,104.9517
4034.0887,105.2818,105.1841
4033.9330,104.1086,105.2561
4033.3410,104.8290,105.0036
4032.7055,105.3619,105.0507
4031.4435,104.3395,104.8334
4034.1948,104.5470,104.2052
4035.0265,103.2192,103.6386
4032.4610,104.2844,103.3457
4035.1755,103.5068,102.8378
4036.3042,102.2937,102.2002
4036.9734,100.9789,101.7274
4034.1389,100.7971,101.6823
4033.1216,100.5476,101.5484
4033.9211,100.9388,101.5701
4033.6054,99.7704,101.6759
4034.1176,100.8747,102.0441
4036.9868,101.7686,102.2293
4035.3689,101.7683,102.4698
4037.3367,101.9733,102.5260
4035.4448,101.2772,102.6782
4034.0193,102.2287,102.8067
4036.7053,101.8624,102.6295
4034.7970,101.4578,102.4833
4035.4037,102.1263,102.5243
4036.8238,102.3611,102.1814
4037.2382,102.0277,102.0984
4034.9228,101.5229,101.7153
4036.0748,100.5401,101.3261
4038.1932,99.2219,101.2465
4035.4803,100.1409,100.9278
4037.9931,100.8025,101.2239
4036.7197,101.2699,101.1578
4038.6023,101.3631,101.4867
4036.9109,100.2586,101.2970
4035.5618,101.7923,101.4120
4039.4077,100.4586,101.2858
4037.5342,100.4952,101.0168
4036.3228,100.8159,100.9849
4035.8276,100.4610,101.1070
4034.9548,100.7762,101.2677
4038.5381,100.5580,101.4951
4038.7498,101.3266,101.3167
4036.2300,100.5583,101.5040
4036.1309,99.7610,101.5761
4037.9947,101.8305,101.8984
4037.7770,101.1936,102.0543
4037.1599,102.0748,102.5018
4040.1232,102.7300,102.6951
4037.7191,102.0353,103.4426
4039.1769,102.9321,103.9642
4038.9638,103.5461,104.6761
4038.9165,104.9090,105.0177
4037.6855,105.2805,105.1929
4037.2764,104.2095,105.3505
4036.9086,105.3973,105.6307
4038.9958,105.7678,105.2963
4039.8971,105.5782,105.5913
4040.2153,105.0422,105.3306
4040.0838,104.3391,105.0745
4039.0375,104.7814,104.7938
4040.1076,103.5277,104.5053
4038.1948,103.9964,104.1961
4038.7545,102.2581,103.9779
4040.0669,103.9711,103.7794
4038.4702,103.2295,103.7481
4037.7309,102.9083,103.7545
4039.0365,103.1208,103.8547
4038.9123,103.2173,103.7964
