depth,measured,predicted
4023.4603,16.5369,16.2263
4024.5851,16.2908,15.5069
4025.1937,15.2731,14.9736
4024.0888,14.7124,14.4635
4023.1952,14.1882,14.0207
4025.1945,13.6363,13.6904
4025.6113,13.8459,13.3793
4023.8398,12.5359,13.0596
4025.3290,12.3568,12.7798
4023.9827,11.9715,12.5774
4025.7626,11.6098,12.4996
4024.7761,11.1969,12.4310
4024.6925,11.1894,12.1997
4024.1302,10.8555,11.5934
4022.6768,10.8973,10.1308
4022.6446,11.0846,9.5073
4023.2907,10.9535,9.1559
4024.2816,10.2369,8.7145
4025.9833,10.3230,7.3017
4025.9081,9.2672,9.6160
4025.5887,8.7540,9.5335
4026.0765,8.6414,7.1658
4023.5777,8.3826,6.7252
4025.1742,7.7540,7.5277
4026.5251,7.7081,7.9850
4025.3572,7.2492,7.7430
4027.1263,7.1888,7.6652
4027.9520,7.1188,7.5983
4024.8468,6.7323,7.6821
4028.4723,7.6058,7.8169
4024.3333,8.2328,8.1820
4027.3564,8.6531,8.6843
4024.9464,9.1925,8.8198
4026.3876,8.9566,8.9128
4027.1432,9.2060,9.0637
4026.8568,9.4913,9.1611
4027.6064,9.2170,9.2079
4027.6136,9.2094,9.1523
4026.8630,9.2782,9.2899
4025.5974,8.9979,9.1974
4026.9866,9.5670,9.2524
4029.0493,9.5939,9.2249
4027.4421,9.1172,9.2190
4027.0080,8.9452,9.1235
4027.0705,9.1043,9.1883
4028.1657,9.2695,9.0645
4026.8794,8.9035,8.9882
4029.2530,9.2910,8.9846
4028.8119,8.9628,8.7972
4028.9316,8.6510,8.7453
4030.3992,8.7917,8.6063
4030.5699,8.8337,8.5976
4030.5873,8.9543,8.3843
4027.2339,8.4077,8.4130
4029.7135,8.1108,8.4438
4028.9304,8.1849,8.4255
4027.5725,7.9793,8.3940
4030.6931,8.3093,8.4044
4028.6703,8.6320,8.4441
4030.7404,8.3907,8.4634
4030.6252,8.6042,8.4652
4031.4001,8.1865,8.4822
4028.8314,8.6034,8.5649
4031.3214,8.5447,8.5426
4031.8322,8.6265,8.6289
4030.6234,8.4128,8.6156
4033.1587,8.6940,8.6499
4029.3966,8.4384,8.6404
4029.8499,8.6749,8.6861
4029.8015,8.4031,8.6542
4030.5846,8.5877,8.6520
4030.0996,9.0465,8.5916
4029.0912,8.2588,8.5778
4030.8004,8.8967,8.6914
4031.5097,8.7304,8.7165
4032.7642,8.8803,8.8089
4030.1655,8.9645,8.9433
4033.5732,9.2148,9.0231
4030.8441,8.9963,9.0428
4030.7146,9.1765,9.1713
4033.4221,9.6116,9.1778
4032.3458,9.2360,9.2553
4031.4674,9.5024,9.2837
4031.5166,8.7639,9.3164
4031.1752,9.2766,9.4051
4032.1641,9.8290,9.4015
4031.8298,9.7884,9.4999
4031.8296,9.1958,9.6540
4034.9862,9.9014,9.7692
4033.4238,10.1897,9.9308
4034.8312,10.3372,10.0196
4032.2891,10.1021,10.1270
4032.2409,10.5794,10.1150
4033.4824,10.3153,10.0443
4032.8048,10.3678,9.9992
4034.6299,9.8465,9.8868
4035.7484,10.2297,9.8157
4033.4249,9.8322,9.6451
4032.7232,9.2137,9.6153
4036.0596,9.7411,9.4464
4033.6185,9.7433,9.4782
4036.3189,9.5671,9.4494
4032.9307,9.2882,9.4279
4032.8426,9.5428,9.4706
4034.6127,9.7647,9.4851
4035.9079,9.7522,9.4909
4035.7394,8.8489,9.4371
4034.3654,9.5505,9.4046
4033.3343,9.4299,9.2802
4036.5319,9.6822,9.3595
4033.4920,8.9573,9.2372
4036.8382,9.0673,9.1637
4034.8063,9.1272,9.0618
4034.9604,8.4465,9.0259
4034.3755,8.8216,8.8871
4035.9165,8.9458,8.8895
4037.9052,8.8741,8.8036
4038.7348,8.9516,8.7627
4037.7692,8.9259,8.7427
4035.7617,9.1686,8.8152
4037.1989,9.0227,8.7955
4035.6954,9.0400,8.8661
4034.4582,8.9081,8.9904
4039.0433,8.9256,8.9631
4037.3233,9.2302,8.9572
4040.2834,8.9089,8.8959
4036.8280,8.9609,8.9075
4039.5313,8.8602,8.8815
4039.8008,8.8538,8.9266
4036.9383,8.7813,8.8500
4037.3995,9.0449,8.9792
4038.9629,8.8265,8.9787
4036.8949,9.1408,9.0612
4039.2318,9.0423,9.0875
4036.7635,9.0779,9.2450
4038.1100,9.2832,9.3581
4036.7737,9.3091,9.4043
4038.8385,9.5179,9.4939
4038.7270,9.6008,9.6614
4039.3406,9.8029,9.8245
4038.2139,9.8667,9.9742
4038.1647,10.1293,10.0957
4039.0812,9.9494,10.2284
4037.2231,9.9734,10.2662
4039.5643,9.9694,10.2519
4040.7352,10.3572,10.1829
4040.1810,9.7930,10.1577
4038.3826,10.4239,10.2092
4039.7837,10.0523,10.0444
4038.7723,10.5481,10.0431
4040.2673,10.1273,10.0467
4038.0073,10.2082,10.0298
4041.4647,9.7213,10.0465
4040.5247,9.8094,9.9653
4039.1498,9.7440,9.9169
4040.6955,9.8673,9.9575
4040.9229,10.1494,9.9014
4042.5104,9.5481,9.9184
4039.5654,9.8315,10.0334
4042.8345,9.5994,9.9173
4039.0825,9.6606,9.8781
4042.4102,9.6702,9.8838
4041.5889,9.8041,9.7188
4040.7126,9.6931,9.7991
4040.9006,9.6810,9.5266
4040.0325,9.4080,9.5112
4042.5976,9.5744,9.4013
4039.9598,10.0214,9.4002
4041.0000,9.6214,9.4219
4041.6869,9.4682,9.6216
4040.4633,9.6684,9.7464
4042.4873,9.9481,9.8367
4043.7800,9.8837,9.8211
4044.2094,9.5161,9.8800
4042.3690,10.2498,9.8385
4042.1597,9.9595,9.9277
4043.5488,9.9422,9.9089
4042.0096,9.8818,9.8714
4041.3393,9.8997,9.7496
4040.9825,9.5878,9.7945
4041.0465,9.7367,9.8220
4043.0315,9.9110,9.8435
4041.7690,9.6289,9.8548
4042.7972,9.4795,9.8463
4044.4446,9.7659,9.8815
4045.3264,9.6534,9.8782
4041.7103,10.1264,9.9353
4043.7770,9.9642,10.0613
4045.4848,9.8664,10.1402
4045.2862,10.2007,10.1566
4042.9660,10.2278,10.1669
4046.1824,9.9166,10.2203
4044.4568,10.1801,10.2313
4045.9038,10.3023,10.1952
4043.6143,10.2891,10.1801
