depth,measured,predicted
4025.0719,45271.1132,44141.9735
4025.5536,43280.1259,42920.2629
4024.9314,41827.5487,41831.6837
4025.1118,40188.1403,40578.8283
4025.5361,37800.8979,38744.1103
4022.6730,37332.1214,36857.5296
4023.3100,33829.3056,33870.3986
4023.0162,33269.0929,33068.2724
4024.9829,33180.3684,32572.6167
4023.5201,32555.7564,32396.1175
4023.2867,32020.6917,32148.1536
4025.0473,31609.6391,32114.6765
4026.5590,31802.5031,31928.8757
4023.8298,31184.6999,31354.1477
4024.0798,31043.3162,30546.2731
4027.1786,29488.4932,29765.5803
4026.1218,28687.0414,28839.2634
4025.7812,27756.5228,27733.9053
4027.6779,26907.5170,26696.7924
4025.6109,26539.0254,25741.8506
4026.7262,25513.7157,25414.7344
4025.2844,24647.4658,24613.6572
4024.7250,23769.8190,24099.3601
4025.8097,24253.3691,23771.4680
4027.0338,25605.1453,23882.5263
4023.9075,23968.2783,24336.0771
4025.0810,25802.3294,24908.3199
4026.4440,25974.0414,25018.2902
4028.7169,25279.3570,25827.2372
4025.4069,27296.8927,25762.3326
4028.9124,27888.8908,25995.6693
4025.9409,27103.3041,26833.6678
4025.8024,27886.4491,27333.0167
4026.0801,28891.1500,27944.9640
4028.3874,28757.1904,28073.7459
4028.3414,28709.4570,28320.4615
4028.5745,28216.1998,28506.7440
4025.6484,29614.5627,28704.7320
4025.9120,29355.0566,28868.3041
4028.2931,29473.9146,28822.0836
4028.5628,27735.2744,29181.3322
4028.9114,28097.5452,28849.8471
4029.4487,27850.9402,28614.5924
4028.6190,29334.8732,28487.9791
4030.1069,28918.0010,28796.5953
4030.0732,28311.2262,28760.1526
4029.9243,28165.9052,28742.5423
4028.6416,28661.0687,28338.3622
4027.8242,27846.9829,28325.2047
4027.6166,28131.1766,28130.7975
4026.9444,28092.7354,27556.3459
4028.6309,27866.8503,27478.4491
4030.4895,27056.3645,27286.5264
4027.4289,26734.4225,27123.1265
4029.6534,26703.1068,27372.7553
4028.5627,26468.6639,27490.8490
4030.4311,27142.8588,27309.8802
4029.5509,27138.6503,27351.9492
4028.4147,27415.3674,27485.5620
4029.8130,27068.8597,28075.3340
4029.1334,27428.0202,27857.2596
4027.9788,27050.2797,28014.1958
4027.6545,26875.7706,28121.1355
4031.9577,26970.1072,27926.8855
4031.5910,27285.4346,28108.8158
4029.9008,28076.9115,28330.6532
4030.0816,27556.0609,28544.1302
4031.8293,27175.1422,28433.7649
4031.5001,27365.5880,28597.3365
4031.7866,27656.4703,28594.9944
4031.2653,27435.8533,28751.8502
4029.1694,27154.3781,28688.1744
4028.9114,27776.3850,28888.5333
4029.7160,27463.8315,28751.8213
4031.5267,27843.2278,28438.9050
4032.4824,27127.2486,28370.6093
4032.1479,26483.8513,28539.2772
4033.0449,27990.4969,28644.5489
4031.1541,27772.2688,28848.1368
4030.8316,28138.4954,28987.9812
4032.8950,28732.3967,29188.9459
4033.7863,28296.9354,29453.1408
4030.8805,27732.0633,29856.9385
4030.1621,29437.7882,29877.9432
4033.8440,29657.1221,29927.1607
4031.1734,28778.2303,29934.0424
4033.9661,29453.0626,29948.8587
4033.2335,29600.1904,30131.5935
4032.5368,30209.1446,30063.1374
4033.9123,29330.5619,30289.4612
4031.3963,29815.4966,30575.8688
4034.4757,30651.4705,31148.0970
4032.7334,30010.2223,31323.5740
4033.6743,30572.8355,31380.5246
4034.1427,31081.8406,31621.8876
4031.6782,31520.2520,31846.2197
4034.4276,31974.2252,32029.6935
4035.8066,32606.6037,31872.0256
4035.5098,31252.2902,31665.2715
4034.2521,32146.6553,31398.8617
4033.9982,31004.8768,30952.5751
4031.8371,30069.5051,30852.6835
4035.7631,29973.1905,30545.9007
4034.9607,29683.7827,30279.9739
4034.2824,29836.0519,30256.4004
4033.1321,28405.4153,29975.5068
4034.2652,29093.5119,29812.6445
4036.1947,29027.8559,29783.8148
4035.0044,29886.0564,29839.0178
4034.4330,29021.5797,29852.5173
4036.1360,29798.6747,30111.6803
4036.5764,29499.7018,29999.6715
4037.6394,30031.0057,30093.1301
4037.0241,29905.2825,30199.8218
4036.5944,29397.5317,29939.1675
4033.7672,28133.0752,30038.1709
4036.8834,28809.8223,29903.4298
4036.3783,29781.5254,29703.9700
4036.1979,28278.1371,29473.4841
4037.3819,28574.8645,29430.4996
4034.7398,28997.8550,29347.7296
4037.8979,29188.1815,29255.4281
4037.3257,27488.5383,29017.9056
4036.6242,28710.1786,29004.8714
4034.5885,28142.8562,29090.8776
4038.1540,28366.2154,28915.3662
4034.8978,29399.4268,29151.8935
4038.9010,28931.4513,29201.5640
4036.7938,28955.7012,29211.7868
4039.1737,29410.8775,29243.9319
4035.3538,27825.6174,29203.3725
4036.9148,29281.0467,29179.1451
4035.1596,27307.5992,28916.0611
4038.2733,28170.2177,28896.1294
4038.5886,29066.2555,28956.0945
4039.0610,28304.5178,29144.4719
4037.0416,28806.5691,29018.8097
4038.9315,27732.4681,29186.3948
4038.3277,28808.1921,29388.3100
4037.5921,28582.7773,29710.6098
4037.4971,28745.1053,29892.5500
4038.6857,30226.6335,30159.8320
4036.2837,30473.7226,30379.3442
4040.2417,30256.1246,30567.2146
4039.1477,30294.5571,31058.4967
4038.4870,30497.0010,31232.1653
4037.9255,30806.6378,31326.2123
4039.5162,31332.7582,31673.7088
4039.8127,31377.1061,31647.0989
4040.4360,31678.1857,31621.8041
4039.6316,31167.6931,31719.7151
4038.8114,30471.0002,31544.0628
4039.9191,32090.4626,31393.6188
4040.3662,31440.9565,31439.7411
4039.5877,30662.9643,31184.2996
4037.7166,31886.9839,31184.3195
4041.2300,31263.1420,30922.4029
4040.0019,30264.1471,30824.7574
4040.6952,30186.5369,30784.2937
4041.9324,30875.6322,30928.3536
4041.2252,30548.4646,30865.3470
4039.5913,30881.1994,30888.3471
4039.4538,30415.4762,30891.4338
4041.9261,30897.4559,30861.9428
4041.8727,31036.9996,30943.5784
4039.1918,31167.6555,31132.6205
4041.1192,30190.7357,31324.3273
4042.3123,29955.5256,31187.0771
4041.2571,30304.3405,31236.1589
4041.9117,29794.5706,31195.3268
4041.2089,30139.3101,30990.8396
4043.8566,29830.4831,30468.3722
4041.5846,29307.6804,30216.4036
4041.9832,29757.3400,29967.0265
4041.8651,29380.8661,29709.5286
4044.7259,30517.5951,29787.1695
4040.5815,29258.5493,29971.4817
4039.9910,30182.6108,30144.8187
4040.5012,29861.0959,30400.9376
4043.9398,29275.2720,30675.2990
4043.6386,30236.9186,30739.2685
4041.3261,31166.8374,30935.0884
4040.4522,30420.9529,31049.5260
4041.1840,30977.5453,31128.0057
4042.8955,30809.7385,31144.8867
4044.1694,30798.6345,31112.5562
4044.0900,31190.1497,31258.8125
4041.7614,29658.3100,31020.4060
4043.7437,31222.2636,31034.5380
4044.6317,30090.8175,30972.7076
4043.1221,30920.4817,30901.1634
4044.7627,30338.8814,30541.4364
4042.2886,29790.9103,30687.7212
4041.9153,30871.3219,30725.3858
4043.3634,31752.2565,30839.3649
4043.6798,30578.7747,30866.8403
4042.3020,30686.6884,30948.8472
4043.3748,31372.3984,31077.5965
4045.5686,30798.5482,31353.7293
4042.9073,31265.7775,31750.9842
4045.8463,31965.4582,31758.9964
4044.6541,32179.5729,31864.3734
4046.1221,31662.5334,31719.2283
4043.6024,31490.7314,31652.9589
4042.8309,31528.3466,31462.4752
4044.4186,31267.0406,31544.5069
4043.8681,31120.4694,31556.6354
4044.0635,31253.9181,31728.9592
4046.0477,31602.3629,31784.5046
4044.2962,31131.9456,32056.0555
4046.6514,31658.8355,32156.0579
4043.2672,32998.8898,32189.5329
4045.8137,32618.9662,32171.2828
4045.1067,32033.8136,32132.4040
4047.3556,31377.1863,32236.7349
4045.8296,33041.5704,32321.9136
4045.7667,32701.1351,32522.0169
4045.1056,33192.1041,32586.8533
4046.0655,32487.6256,32575.3216
4045.5429,33154.7821,32687.5820
4047.4408,32356.5124,32764.5007
4047.1357,32131.9383,32793.8524
4045.6299,32759.2045,33097.2950
4046.6929,32450.1030,32942.1709
4045.6889,32888.2132,32809.2248
4045.5793,33049.8847,32616.5024
4047.8854,33237.1746,32387.5402
4048.9787,32452.1711,32300.3328
4044.8505,30886.6101,31974.5804
4047.0331,32553.8287,31974.9575
4047.9676,31544.7631,31998.3604
4049.0476,32347.1342,32098.7806
4047.1548,31819.6346,32112.9698
4048.3818,31346.7888,31889.3069
4049.0683,32565.9397,31962.2701
4049.0756,32875.9956,31814.4243
4049.5071,32144.9386,31924.3379
4045.9356,32166.8428,31828.2429
4049.4599,32579.6947,31840.5451
4046.4431,31288.0333,31887.0378
4047.0441,32111.7054,32001.4190
4046.8539,31599.9479,31839.5890
4049.1276,31909.7467,32026.5988
4045.9595,31992.9884,32187.1753
4047.2528,31449.6146,32315.8596
4047.4583,31770.4345,32457.2305
4047.5572,32987.6848,32344.4753
4048.0325,32999.4929,32426.5587
4047.5762,32482.3037,32783.0953
4049.0710,33034.5378,32715.4408
4048.1200,32870.0260,32634.3746
4049.3074,32263.6516,32687.4391
4050.5516,32049.4982,32811.1399
4047.7332,32349.0472,32846.5651
4050.9246,33192.6751,33023.7303
4049.3313,32976.6972,32873.5061
4051.7060,32560.4053,32856.3724
4051.0398,33122.2782,33118.7542
4050.6615,33248.9405,33897.3167
4051.3615,33558.3664,34166.2754
4051.3882,35203.8315,34838.4845
4049.1645,34576.3278,35117.4673
4048.5436,35277.6862,35190.1840
4049.9948,35176.5335,35395.3810
4052.5808,34871.1581,35344.2668
4051.6293,35750.4850,35578.7405
4050.0044,35106.2038,35619.0603
4052.7444,35589.6173,35444.3641
4050.3546,33920.0366,35432.5133
4052.5329,34756.5171,35066.2559
4053.0142,34878.1072,34923.2404
4049.8897,35259.4183,34752.5994
4052.1316,33738.9600,34385.0778
4050.4380,34190.7015,33951.0197
4049.9372,34378.8578,33430.3290
4051.3005,32671.4946,33030.3749
4052.7925,33627.0467,32877.1422
4052.8124,33139.3088,32583.7167
4052.9902,31773.6000,32608.9256
4050.7518,32113.1439,32529.5765
4054.5564,32456.0816,32464.8517
4051.6082,32745.0858,32497.7827
4051.5915,31685.7572,32600.7331
4050.8081,33128.7175,32590.8766
4053.6841,32134.9127,32841.0946
4053.1977,32218.6026,33206.5843
4050.7883,33074.0224,33398.3329
4054.3878,34957.0470,33780.8389
4050.9752,34113.4723,33968.7843
4052.5738,34030.3335,34138.3470
4053.7671,33554.7181,34306.5852
4054.2622,33985.2255,34583.6335
4054.4819,34333.7297,34907.0724
4052.1374,34727.8105,35149.9570
4052.2860,35243.9195,35158.9207
4051.8533,35722.2059,35350.7644
4052.8065,34864.0840,35168.2817
4054.6017,34519.5127,35064.2236
4055.8349,34009.5130,35054.0590
4051.8604,33876.9903,34754.3606
4055.3315,34305.6513,34702.4037
4054.1209,34139.6658,34618.1066
4054.4721,33464.5066,34316.4847
4054.7386,34675.8485,34261.4320
4053.7156,33335.7919,34019.0210
4055.6796,33294.6178,33967.4756
4055.4127,33613.0757,33744.8999
4056.5271,33813.5358,33602.2806
4056.1488,33177.0694,33507.9041
4057.7448,33208.3682,33462.7564
4054.8592,34193.5173,33433.0713
4055.7399,33261.0650,33362.6774
4055.6864,32588.3691,33468.5967
4056.6847,32712.3665,33486.6735
4056.3362,33039.8932,33460.0952
4056.2972,33352.0723,33434.5786
4056.2025,34206.1759,33421.0635
4054.2872,33374.0222,33384.2154
4057.4714,33660.6995,33540.2912
4054.5386,34177.8841,33603.6110
4056.4864,33460.7165,33977.7198
4056.3672,33845.3658,34160.8111
4058.1709,33943.9066,34070.3789
4057.1020,33776.5296,34361.8638
4055.9555,34185.2298,34505.1887
4056.8792,34055.9827,34610.3433
4056.7940,34998.5045,35042.1813
4057.2997,34926.9171,35184.0613
4058.7994,34827.4887,35355.4682
4057.1605,35421.8732,35260.6740
4059.7652,35188.6200,35153.0063
4058.4772,35016.6269,35200.0072
4057.3139,36019.0969,34850.0523
4056.8167,33712.0941,34668.2748
4058.5773,34670.1152,34459.5979
4059.5472,34497.1650,34038.4424
4056.4358,33714.0127,34091.1018
4056.8345,35241.3314,33954.1574
4059.1024,31603.1745,33795.1705
4058.4795,33601.8416,33591.8271
4056.5607,33388.2451,33529.4218
4058.5389,34122.1375,33525.6518
4057.2670,33034.8114,33688.7698
4060.5176,33420.6322,33428.4081
4057.7925,32933.8405,33487.0875
4057.9875,33238.9979,33650.9209
4058.3776,33430.2014,33636.6803
4057.7904,32796.4450,33580.5014
4058.8468,34116.5430,33629.9064
4057.0162,33295.2928,33798.4545
4057.4456,34340.7766,33833.0625
4058.3295,33840.6115,34286.5055
4057.6166,34149.7686,34409.9404
4059.4934,34412.7691,34351.2618
4061.8229,35539.8833,34748.6060
4060.8924,34437.9395,35055.4373
4058.8813,34280.3315,35219.2761
4059.6207,34869.5191,35179.2525
4057.9290,35313.4349,35308.2233
4059.3871,35475.5923,35013.7916
4060.6965,34739.9646,34877.0349
4060.6442,34356.6500,34832.8417
4059.8154,34930.6358,34684.5341
4060.3150,33240.4091,34532.2216
4058.6730,34109.4446,34405.4309
4062.2819,33163.2095,34525.8876
4062.7174,33535.2574,34431.2946
4057.7406,34087.6890,34430.7643
4060.4978,33293.1340,34419.9728
4061.2682,33169.5766,34408.5681
4060.2403,34492.6743,34220.3701
4060.2799,34084.6429,34119.4774
4060.9376,32554.4229,34097.9314
4062.0597,33758.5573,34391.5331
4064.1616,34520.7754,34405.0964
4062.5340,33902.6632,34364.9619
4062.1700,33938.3079,34510.7019
4063.9861,34228.8774,34504.3704
4063.4838,34720.7829,34477.4566
4061.4308,35012.9744,34526.5770
4060.3936,33503.8448,34389.7773
4062.7881,34212.1493,34602.4912
4062.7731,34561.6129,34664.9642
4061.9948,34855.1815,34614.4867
4063.5986,34252.8263,34696.1401
4062.9223,35377.0505,34730.8443
4065.2849,35480.0455,34956.0538
4061.0299,34914.2105,34872.5420
4062.5535,35460.4321,35122.9079
4063.8030,35142.6105,35125.5609
4062.5194,35217.4286,35147.0409
4065.0252,35187.7968,35272.2869
4063.7746,36868.8920,35379.7341
4064.1322,35221.3798,35177.6174
4063.9590,35168.7074,35153.2037
4066.3522,35470.3235,35027.7971
4064.0443,35271.6266,35163.2667
4064.7596,36759.9331,35061.8283
4064.8071,35643.6426,35270.3145
4063.5224,35429.9702,35373.3148
4062.4170,35656.5663,35444.1398
4064.1925,35773.0263,35328.1381
4064.0278,36618.4228,35590.9525
4064.6413,35649.6392,35634.9289
4063.3589,36134.3795,35905.1245
4065.2168,36795.1324,36467.1578
4066.8499,36723.6266,36587.5228
4065.6110,37130.7531,36789.8952
4065.7842,36206.6452,37130.7878
4067.0155,36895.8612,37293.4074
4066.1744,37305.8705,37359.0923
4067.1906,36698.3995,37145.8244
4066.6304,37428.1517,37116.2530
4065.2604,37691.4223,36814.4138
4066.8197,36849.2295,36662.3360
4067.2653,36606.9867,36723.5874
4068.4254,35552.2907,36721.0979
4064.1908,36372.0458,36656.4924
4064.1785,37008.8288,36862.1711
4067.0191,37582.8096,36886.0256
4066.5874,36954.2601,37041.3439
4067.4817,36673.6947,37100.0710
4064.9974,37078.6259,37206.6486
4066.7014,37115.7242,37378.0145
4064.5319,37104.5916,37439.9027
4066.8939,37251.8326,37460.1177
4066.4755,36066.9374,37573.5099
4065.1131,37456.4493,37446.8227
4067.4889,37564.8426,37323.2787
4067.1719,38365.0630,37285.9503
4068.5299,36521.4021,37317.7216
4065.5667,37514.1642,37520.8997
4066.5172,36673.1560,37828.6549
4066.9262,37259.4209,37694.1283
4068.5479,38271.8161,37571.9438
4066.8909,38104.4615,37469.5256
4070.2530,37676.8506,37222.0657
4068.5747,37106.2400,36969.1171
4067.1247,36719.1836,36585.1458
4068.5585,36663.6278,36701.2483
4066.2786,35875.3124,36207.0093
4068.6489,36144.5319,36047.6948
4068.4176,36889.9090,36120.6305
4067.0664,36977.9274,36245.0866
4066.9483,35830.3834,36361.5921
4069.8899,36116.1833,36348.4568
4069.0714,36987.8219,36572.9227
4068.6448,37102.3318,36545.6736
4071.1898,36940.7327,36700.8090
4070.0073,36799.2045,36691.2870
4068.6370,35391.0219,36417.2042
4068.2971,35914.8328,36494.5038
4069.2352,36773.2748,36548.6088
4069.7083,37400.3739,36555.1636
4068.7269,37232.6645,36336.7022
4071.4847,37154.7934,36391.1748
4070.4718,36741.8971,36200.9804
4070.6974,36154.6159,36133.7461
4071.7291,36114.4821,36187.7122
4069.5174,36591.5364,36059.3978
4070.0551,34604.9004,35630.8947
4071.0757,34898.5463,35431.6806
4071.0180,35410.5292,35379.9856
4072.1710,35593.9624,35359.8414
4069.5392,34592.6799,35327.5974
4070.4372,35029.6054,35476.2043
4070.5192,35443.5290,35362.6999
4072.2853,34283.0043,35412.5674
4071.5315,33780.5680,35215.8102
4071.6488,33747.9819,34817.1572
4073.4556,33419.7631,33851.7100
4071.6550,33511.6731,33342.3267
4071.2928,32749.4031,33056.4779
4071.2686,33076.9681,32904.2417
4073.3881,32345.3733,32577.8344
4072.2618,32710.7284,32677.6948
4073.7059,32663.8903,32766.7867
4072.4082,33376.6038,33012.6173
4070.9547,32970.2016,33373.0253
4071.4778,33514.6472,33888.4841
4072.7318,33600.0117,34087.5170
4073.6105,34337.9546,34323.9055
4073.9386,34844.0947,34656.5244
4072.9543,35310.4847,34575.2744
4073.1311,34750.5193,34681.4535
4073.1646,34607.2043,34630.1140
4072.6127,34801.4315,34532.9357
4073.5715,33762.3264,34594.6229
4072.6003,34647.8603,34307.6234
4071.6588,34340.1757,34123.1297
4072.3546,33448.6250,34118.2474
4075.4544,34488.8894,33964.4300
4072.8141,34244.9644,33747.9012
4074.1923,33803.5999,33605.6522
4073.8558,32907.9134,33353.1931
4074.1727,34100.7835,33567.5048
4073.6076,33778.6983,33523.6611
4076.7802,33883.1713,33772.7046
4075.4858,34165.5686,33932.2575
4076.9603,32923.6084,33848.3982
4073.0655,35004.6538,34046.1617
4075.6386,34930.8746,34247.3918
4074.0045,34667.8954,34318.6192
4075.5771,34614.9611,34506.7094
4074.8978,35414.5263,34528.4537
4075.2483,35176.6067,34541.7054
4074.7826,33754.4463,34562.6938
4075.5892,34711.4918,34439.7138
4076.8640,33742.6828,34321.0739
4074.5642,34621.7366,34392.3915
4074.3465,34140.9418,34184.2310
4076.2146,33534.8476,33781.6076
4076.4712,33913.2695,33645.8646
4076.1615,33602.5394,33452.3334
4073.8991,32936.2764,33477.1273
4077.9283,34208.1742,33317.6053
4077.6712,33289.5697,33258.8490
4077.0703,33736.3746,33287.3923
4078.6206,32744.4519,33681.3801
4078.7324,34137.0315,33808.9401
4077.9628,33139.1253,33907.0720
4076.1053,33293.5858,33915.5073
4076.8024,33722.2462,34166.6467
