depth,measured,predicted
4057.9475,0.2864,0.2994
4059.9562,0.2962,0.2999
4060.9603,0.3042,0.3007
4059.9659,0.2951,0.2899
4060.5045,0.2761,0.2796
4059.8477,0.2632,0.2697
4062.6612,0.2649,0.2501
4062.4578,0.2266,0.2403
4059.9477,0.2385,0.2405
4062.0752,0.2578,0.2499
4060.0039,0.2622,0.2605
4062.3224,0.2727,0.2694
4059.8108,0.2710,0.2705
4061.8009,0.2688,0.2696
4063.1817,0.2607,0.2695
4063.5634,0.2684,0.2703
4062.0520,0.2670,0.2699
4061.3643,0.2827,0.2794
4062.6485,0.2824,0.2796
4061.1528,0.2915,0.2805
4061.2950,0.2889,0.2812
4063.2346,0.2859,0.2810
4063.8871,0.2829,0.2809
4064.9517,0.2822,0.2794
4061.3545,0.2844,0.2801
4064.5673,0.2705,0.2704
4062.8156,0.2709,0.2705
4060.5414,0.2691,0.2697
4063.3598,0.2607,0.2596
4063.3141,0.2510,0.2505
4065.7272,0.2452,0.2400
4063.1595,0.2303,0.2404
4065.1379,0.2644,0.2694
4065.8835,0.2729,0.2797
4064.9188,0.2936,0.2794
4066.7411,0.2892,0.2797
4064.5198,0.2841,0.2709
4064.3949,0.2562,0.2602
4063.4660,0.2529,0.2496
4065.1294,0.2300,0.2399
4066.7820,0.2303,0.2306
4065.5628,0.2396,0.2295
4067.8044,0.2400,0.2305
4064.6430,0.2409,0.2297
4065.9845,0.2346,0.2310
4066.6086,0.2353,0.2400
4067.2652,0.2406,0.2501
4066.3293,0.2619,0.2607
4067.3218,0.2547,0.2710
4064.8078,0.2733,0.2801
4066.0541,0.3009,0.2905
4065.1662,0.2942,0.2999
4065.6101,0.2944,0.2996
4066.4712,0.3146,0.3098
4068.5887,0.3056,0.3097
4065.8839,0.3164,0.3105
4067.4614,0.3001,0.3104
4069.1499,0.3123,0.3101
4066.1640,0.3137,0.3094
4069.6802,0.3006,0.3010
4066.6769,0.3057,0.2997
4066.8645,0.2913,0.2991
4069.0940,0.2838,0.2898
4068.3769,0.2937,0.2898
4068.4458,0.2862,0.2900
4066.9494,0.2928,0.2999
4068.0931,0.2955,0.3002
4068.2857,0.3059,0.2996
4070.1017,0.3057,0.2994
4066.3963,0.3017,0.3001
4067.1482,0.3029,0.2996
4067.2906,0.3003,0.3003
4067.1923,0.3003,0.3005
4070.9164,0.2964,0.2999
4070.3893,0.2982,0.3000
4068.1729,0.2985,0.2993
4070.3098,0.3010,0.2993
4069.0758,0.2881,0.2904
4070.3927,0.2815,0.2804
4068.4832,0.2832,0.2801
4071.2132,0.2685,0.2790
4070.1534,0.2664,0.2692
4068.1121,0.2688,0.2798
4071.0958,0.2759,0.2800
4071.2699,0.2903,0.2786
4070.8955,0.2978,0.2911
4070.3486,0.2884,0.2893
4069.3861,0.2978,0.2999
4070.7033,0.2998,0.3101
4069.9712,0.3130,0.3193
4069.1584,0.3255,0.3205
4070.0432,0.3322,0.3299
4068.6910,0.3441,0.3400
4070.1599,0.3405,0.3501
4071.5322,0.3428,0.3395
4072.5308,0.3388,0.3402
4070.1042,0.3324,0.3401
4071.3036,0.3407,0.3405
4070.6363,0.3382,0.3402
4069.4254,0.3291,0.3299
4072.4428,0.3319,0.3304
4071.7734,0.3371,0.3311
4072.2980,0.3199,0.3199
4071.9392,0.3097,0.3097
4074.0043,0.2980,0.3100
4073.8200,0.2991,0.2995
4072.7082,0.3045,0.3003
4073.3983,0.2916,0.2997
4073.2596,0.2936,0.3005
4071.6754,0.3026,0.3103
4072.3549,0.3230,0.3100
4074.6648,0.3223,0.3203
4073.0225,0.3196,0.3204
4072.7273,0.3221,0.3190
4076.4327,0.3147,0.3198
4074.5279,0.3241,0.3197
4076.0082,0.3266,0.3295
4075.4171,0.3267,0.3303
4073.5080,0.3367,0.3298
4073.5089,0.3280,0.3297
4074.2903,0.3236,0.3196
4073.7598,0.3274,0.3095
4073.4540,0.2976,0.2999
4075.4352,0.2801,0.2905
4074.3839,0.2816,0.2806
4073.6323,0.2688,0.2705
4076.8749,0.2687,0.2701
4076.8783,0.2707,0.2703
4076.3077,0.2708,0.2704
4074.4558,0.2681,0.2684
4077.7025,0.2730,0.2703
4074.8479,0.2700,0.2699
4075.6405,0.2631,0.2700
4078.2504,0.2693,0.2700
4073.6411,0.2693,0.2701
4075.8844,0.2691,0.2783
4073.9395,0.2804,0.2805
