depth,measured,predicted
4079.4087,108.3021,108.7078
4080.1132,108.3240,108.6806
4080.2096,108.5806,108.6466
4077.5929,108.1346,108.7117
4080.5923,108.5190,108.6755
4081.6303,108.5499,108.8347
4081.3542,108.9602,108.9241
4079.5694,109.1039,108.9397
4078.9631,108.8299,109.1235
4083.1773,109.4528,109.2241
4078.6998,109.1244,109.2662
4078.6770,109.4984,109.1813
4080.3676,109.1501,109.3061
4080.2268,109.6664,109.2029
4082.1116,109.7234,109.2658
4080.9168,108.7895,109.3126
4078.7212,109.3972,109.2102
4082.4793,109.5979,109.2262
4082.2558,109.1858,109.0979
4082.9970,109.0917,108.9573
4080.7906,109.6352,108.9290
4082.1502,109.5385,108.7903
4080.5642,109.0233,108.7763
4082.3301,109.4630,109.0454
4082.9096,109.9048,109.0016
4082.8096,110.4938,109.1881
4083.2177,110.2170,109.3109
4082.6531,110.7294,109.3669
4083.3180,110.3265,109.4481
4082.6480,110.6993,109.4012
4084.2081,110.8745,109.5560
4081.7638,110.6613,109.6682
4081.7027,111.0075,109.8480
4081.0449,111.3492,110.0952
4082.4648,111.0811,110.2187
4081.2382,111.7812,110.3475
4084.5579,110.9728,110.3629
4081.6614,111.5723,110.4419
4082.0570,111.3140,110.4632
4082.7422,111.4090,110.5420
4085.1655,111.1614,110.4697
4082.2599,111.5358,110.2984
4086.4027,111.5938,110.3398
4084.5592,111.0340,110.2029
4084.4322,110.7074,110.1993
4086.2816,111.1283,110.1403
4084.7407,111.0793,110.0984
4085.6455,111.0776,110.2743
4083.9574,111.7353,110.3669
4083.1977,111.3744,110.4888
4084.8772,111.2493,110.4814
4083.5072,111.6577,110.5744
4084.3176,111.6417,110.6820
4085.4153,111.2918,110.5282
4086.7815,111.0859,110.6469
4085.1529,110.7818,110.8368
4086.0754,110.9578,110.8679
4086.2435,111.7040,110.9204
4085.2720,112.2046,110.8516
4086.5227,111.4818,110.8076
4084.8376,111.2857,110.8796
4084.3799,111.9341,110.8293
4087.2902,111.3397,110.7770
4086.5629,110.8224,110.8870
4082.9390,111.7090,110.9137
4085.1854,111.5977,110.8825
4085.9317,111.7482,110.9870
4085.7323,111.3730,110.8346
4084.8224,110.8867,110.6376
4085.8103,110.1791,110.5120
4088.3620,111.2290,110.4737
4086.9034,110.5402,110.5318
4086.1587,111.2715,110.4296
4088.3965,110.6276,110.6078
4087.9254,110.9745,110.6450
4085.7860,111.5521,110.7048
4086.5759,110.8745,110.8606
4086.4517,111.3474,111.0530
4086.5932,111.4340,110.9738
4086.2825,110.8107,111.0751
4087.7571,111.5570,111.1928
4088.9476,111.8069,111.3437
4086.6025,111.4644,111.3125
4087.0060,111.2912,111.3975
4086.8227,112.0541,111.3623
4087.8739,111.5522,111.4652
4087.0133,112.1057,111.3977
4090.0374,111.7784,111.3834
4088.7804,111.8258,111.4067
4087.1612,112.1739,111.5846
4089.2907,112.2452,111.7054
4090.3475,112.2945,111.7368
4089.1241,112.3897,111.8622
4091.0493,112.4630,111.8393
4087.9601,112.3658,111.8109
4090.9545,112.5210,111.7971
4088.8789,112.2226,111.8521
4089.7862,111.7586,111.8170
4089.5462,112.1133,111.8142
4090.0604,112.7320,111.7281
4088.8469,112.5872,111.8414
4091.1049,112.3540,111.8614
4089.5535,112.0269,111.7968
4087.8958,111.9071,111.9126
4090.8202,112.0713,111.9416
4089.5236,112.5599,111.9480
4090.9988,112.2042,111.9674
4091.5951,112.4611,112.0373
4090.9977,112.0741,112.0057
4089.8016,112.4360,111.8227
4090.2340,112.0652,111.7318
4089.7744,112.0617,111.7078
4091.5075,112.2566,111.6215
4090.6359,111.7560,111.5279
4091.5726,111.2698,111.3995
4091.6949,111.6888,111.3226
4092.7499,111.3441,111.2254
4091.5702,111.4493,111.2935
4093.1398,111.5407,111.1777
4093.9718,111.2050,111.2683
4093.1707,111.0570,111.1189
4092.1988,110.5721,110.9965
4092.4582,110.6129,110.6665
4090.1254,110.8808,110.6740
4090.7810,110.0830,110.4814
4093.4334,110.7504,110.4493
4091.4899,109.8587,110.5172
4091.9885,109.9973,110.4536
4092.4850,110.6402,110.5321
4092.2317,110.0644,110.7271
4093.0014,110.8160,110.8269
4091.7065,110.9096,110.9764
4094.4046,111.3611,111.1118
4093.4205,111.2882,111.2848
4093.1207,111.8845,111.4496
4092.7633,111.5933,111.5748
4094.9629,111.7221,111.5412
4094.2882,111.7402,111.6186
4094.5383,112.2223,111.6313
4094.2356,112.3442,111.6412
4095.6685,111.6069,111.7012
4094.8550,111.7429,111.9033
4094.9720,111.7779,111.7436
4096.0645,112.2424,111.8516
4093.7694,112.1193,111.9343
4094.2945,112.5343,111.8500
4095.9917,111.9462,111.8581
4095.7227,112.6854,111.8308
4095.1974,112.5578,111.8200
4095.0045,112.0525,111.8664
4094.7245,112.3016,111.8382
4094.2781,112.1632,111.8741
4093.5018,112.4997,111.8971
4097.2924,112.4140,112.0037
4096.1469,112.4430,111.9411
4095.3647,112.3049,112.0775
4096.4531,112.3950,112.0962
4094.5116,113.1832,112.1006
4096.1762,113.1259,112.1659
4095.9510,113.1582,112.3100
4097.3332,113.2651,112.4035
4097.9163,113.0792,112.4406
4095.9889,113.2417,112.4549
4095.3810,112.8754,112.5009
4097.7639,113.1427,112.3822
4096.5921,113.0718,112.2957
4096.2218,112.7135,112.3314
4095.5299,112.6796,112.1929
4098.4375,113.0019,112.3051
4096.4493,112.5671,112.1386
4097.8840,113.4435,112.1584
4098.0960,112.7456,111.9066
4098.6030,112.1520,111.8467
4095.4471,112.1927,111.7294
4096.1799,112.9108,111.6696
4097.2089,112.2422,111.6386
4096.6273,111.7240,111.5708
4097.6710,112.0890,111.6227
4097.2068,111.8566,111.5076
4098.6286,112.3159,111.4328
4096.8823,112.0048,111.2994
4099.1743,111.7740,111.3946
4098.3292,112.0884,111.3666
4097.9771,111.1936,111.1507
4099.4826,111.6528,111.1684
4097.4707,111.4672,111.2509
4097.9714,111.0262,111.2497
4100.6485,110.8396,111.3950
4097.5146,111.7577,111.3451
4100.3559,112.1901,111.5077
4098.4836,112.1248,111.6406
4097.0799,112.4110,111.6386
4098.6124,112.6030,111.6803
4100.4624,112.0186,111.6167
4101.7896,111.4557,111.4901
4098.9618,112.0732,111.4457
4097.4492,111.6703,111.4093
4100.7357,111.7288,111.4562
