depth,measured,predicted
4070.3572,21.7158,21.5987
4069.9356,19.9788,20.1801
4070.0948,18.7415,19.3407
4071.8290,19.0026,18.6289
4071.4412,17.6294,18.2607
4070.6691,18.1161,17.9995
4071.4762,18.1065,17.6672
4070.8443,17.1082,17.3482
4070.3264,17.0784,16.9668
4072.9640,14.8844,15.7322
4070.5520,15.0223,14.6804
4072.6567,13.3101,13.7684
4071.2321,12.4186,12.8461
4071.9517,11.8841,11.9804
4074.0701,11.0412,11.2185
4072.1035,11.1879,11.1435
4073.0832,10.5957,11.0149
4070.6952,11.5945,11.0839
4070.9657,11.4377,11.1794
4070.4785,11.4464,11.3797
4071.6979,11.3673,11.4010
4073.1160,11.8912,11.7609
4074.3623,11.4651,12.0415
4072.6936,12.3787,12.4542
4073.5041,12.8513,12.6280
4073.6951,13.0053,12.7530
4075.0296,12.6838,12.8519
4073.3461,12.9089,12.8241
4075.0936,12.6074,12.7150
4074.2611,12.6327,12.6982
4074.0597,12.2172,12.4932
4074.4043,12.2295,12.5581
4074.8209,12.5419,12.3478
4072.8794,11.8940,12.2362
4073.1962,11.7832,12.0049
4074.4331,11.2541,11.7358
4074.0135,11.6130,11.8185
4074.2734,11.6415,11.9459
4076.9357,12.0746,12.0922
4076.2552,12.5769,12.1751
4075.1761,12.2343,12.0437
4074.3367,12.4073,12.0913
4075.9190,11.9739,12.1014
4074.2014,11.9476,12.1033
4073.3619,11.5001,11.9914
4076.0827,11.7236,11.7002
4075.5363,10.6715,11.1749
4077.5397,10.7207,11.2798
4074.1943,12.5051,11.7494
4074.4021,12.3439,12.0863
4078.0823,12.4442,12.3457
4076.7877,11.5959,12.2725
4076.0602,12.1714,11.8597
4076.4138,10.8016,11.6276
4077.5012,11.5417,11.3421
4078.4194,11.0933,11.1689
4074.8521,10.9782,11.2214
4077.8626,11.5352,11.0550
4078.2766,10.9306,11.1374
4074.4446,11.1519,11.1268
4078.9989,11.7642,11.2549
4078.3997,11.7407,11.2665
4074.6502,11.0858,11.3414
4078.1543,11.8511,11.3587
4078.9275,11.1686,11.5678
4078.3062,11.4356,11.6267
4075.8821,12.1082,11.6837
4078.2686,11.5572,11.8797
4076.3392,11.4786,11.9148
4076.7571,11.5611,12.0709
4077.4887,12.4520,12.0623
4079.3371,12.1062,12.0711
4077.2076,11.5674,11.9876
4075.1417,11.8827,11.8471
4078.1379,12.0069,11.8471
4076.4043,12.0779,11.7869
4076.1709,12.4350,11.9028
4078.5960,12.0478,11.9679
4077.5865,12.0999,12.0711
4079.4541,12.5571,12.1014
4076.8482,12.4046,12.2959
4079.0540,12.1309,12.2683
4078.5364,12.3283,12.2429
4079.2599,13.2009,12.1765
4080.6054,12.3772,12.2413
4080.9037,12.0400,12.0724
4078.5010,11.8104,11.9460
4078.1289,11.8164,12.0591
4079.6029,12.2855,12.0767
4078.9763,12.0495,11.9873
4080.4363,12.2998,12.2842
4080.1673,11.7990,12.3272
4080.8116,11.9810,12.3921
4079.4596,12.6704,12.5880
4079.8653,12.3141,12.7543
4080.5122,13.1113,12.7877
4079.3023,12.2726,12.7722
4079.0027,12.5345,12.8665
4082.4056,12.6027,12.7305
4082.8218,13.0242,12.7654
4080.7489,13.0576,12.7802
4081.3576,12.1007,12.8443
4082.5158,13.0876,12.8657
4080.2377,13.1091,12.8412
4080.4213,12.4077,12.8715
4080.5644,12.9548,12.9934
4080.9729,13.7952,12.9863
4079.3369,13.1129,13.1225
4083.5879,13.0047,13.1473
4081.7190,13.6463,13.3620
4081.8294,13.2530,13.5942
4083.2022,13.9468,13.6561
4082.7659,13.9265,13.7058
4081.7639,14.3057,13.8168
4083.0201,13.3778,13.9428
4082.4171,13.2639,13.9537
4082.7315,13.9774,14.0369
4083.1169,14.1523,13.9657
4081.3857,14.0468,14.1251
4082.5598,14.3935,14.0757
4084.5499,14.0870,14.1795
4081.8223,13.9183,14.1837
4084.5040,13.8351,14.1239
4083.5188,14.1287,14.1131
4081.9920,13.7575,14.0440
4083.7534,14.0517,13.9856
4085.0623,13.7868,13.8937
4084.4123,14.3449,13.9436
4085.7874,14.0659,13.7229
4084.8294,13.6906,13.7364
4085.8526,13.7319,13.7627
4085.9087,13.5402,13.8196
4084.3625,14.0116,13.9626
4085.0228,13.8274,13.9409
4082.7015,14.6490,14.0642
4084.9766,14.0483,14.1580
4085.6057,13.5788,14.0564
4085.5228,14.3087,14.2058
4086.5324,14.5459,14.2893
4085.5966,14.4037,14.3687
4083.7806,14.7702,14.4293
4086.3897,14.4567,14.4544
4085.5650,14.1264,14.4829
4084.9106,14.1796,14.3853
4085.2226,14.4548,14.3263
4086.1300,14.6618,14.4892
4085.8262,14.6132,14.3993
4086.2741,14.9464,14.4505
4085.9642,14.5700,14.2861
4085.6978,14.1728,14.3089
4087.6700,14.3273,14.1684
4087.6898,14.5181,14.2045
4087.9386,13.9353,14.0018
4085.5466,13.7345,13.9402
4088.0655,13.5120,13.8263
4088.2660,13.9027,13.9155
4086.9541,13.8735,13.8981
4086.7023,14.3359,13.9852
4088.8770,14.4225,14.0441
4088.9167,14.1772,14.1869
4088.4117,13.9692,14.2766
4087.8925,14.6467,14.3936
4086.2412,13.7517,14.3987
4087.9828,14.4894,14.4443
4089.8070,14.6873,14.5002
4088.5873,13.9517,14.3608
4086.7996,14.5657,14.3253
4087.1195,14.5434,14.3490
4087.9195,14.4722,14.3426
4089.5376,14.3834,14.4143
4089.9599,14.2838,14.5058
4087.3713,14.1898,14.4504
4088.5386,14.6991,14.4727
4089.1664,14.9750,14.5107
4090.3665,15.1406,14.6235
4089.5325,15.3705,14.7748
4087.9106,14.8442,14.9185
4087.2154,15.3239,14.9347
4092.1500,15.3581,14.9927
4088.9190,14.5009,15.0356
4090.2660,15.3606,14.9993
4090.8593,14.8010,14.8973
4087.9659,14.9319,14.9111
4090.9132,15.0060,14.9183
4088.9875,14.5108,14.7351
4090.4278,15.3493,14.7872
4089.7626,14.5037,14.7493
4088.1959,14.5392,14.8374
4089.8763,15.2565,14.8566
4088.3381,15.2748,14.7895
4089.2587,15.2731,14.7986
4092.4854,15.0170,14.8533
4088.4671,15.2324,14.8452
4093.0387,15.0614,14.7286
4089.0519,14.3016,14.5495
4093.4135,14.9123,14.4705
4091.0228,14.3469,14.4623
4091.0314,14.6394,14.2360
4090.1301,14.2169,14.1766
4092.7590,14.2724,14.1696
4093.0594,13.7637,13.9881
4090.1442,14.0760,14.1079
4092.2207,13.8885,14.0439
4093.0602,14.0897,13.9344
4092.3333,13.9061,13.9168
4091.9219,13.7876,13.6136
4092.6210,14.0204,13.3458
4090.5382,13.1878,13.2649
4092.2157,12.6534,13.0914
4091.3531,12.8826,13.1520
4094.3891,13.1020,13.1499
4091.4948,12.8338,13.2582
4094.9971,13.5425,13.3292
4094.2913,13.6381,13.5205
4093.8128,13.5619,13.5986
4091.5643,13.4670,13.8172
4095.8749,13.9560,14.0931
4092.0136,14.5081,14.2399
4092.6047,13.5661,14.2820
4093.2788,14.8621,14.4093
4092.2262,14.2456,14.5781
4092.3096,14.3335,14.4638
4094.9666,14.2738,14.5359
4093.7141,14.2975,14.5793
4093.5877,14.0078,14.5673
4096.0424,14.2779,14.7191
4092.9970,14.7104,14.7023
4093.1225,14.3083,14.7642
4094.8534,14.9914,14.8228
4092.8055,14.7589,14.8402
4096.0548,14.6989,14.9052
4094.9356,14.8681,14.8776
4095.6480,15.1799,14.9174
4094.3103,14.4328,14.9470
4095.5159,14.9742,14.9913
4093.3289,15.1461,15.0265
4096.4538,14.8179,15.0021
4094.3309,15.5637,14.9578
4097.5226,15.4173,14.9754
4095.0599,15.1389,15.0427
4095.5165,15.1607,15.1526
4095.0809,15.1010,15.2785
4094.9792,15.3001,15.4012
4096.7406,15.6280,15.5973
4095.7942,15.2107,15.5895
4096.3196,15.3915,15.5373
4094.9671,15.7262,15.5633
4096.2262,15.4292,15.6072
4098.6652,15.3724,15.4582
4096.4818,15.9422,15.3057
4096.3790,15.0810,15.2894
4098.0401,15.4542,15.3647
4095.6971,14.7384,15.1921
4099.5872,15.4595,15.1459
4096.3639,14.9012,15.1350
4096.9397,15.5317,14.9720
4099.0798,15.3586,14.9005
4097.5095,15.1347,14.9454
4097.1856,14.8398,14.8600
4096.8844,15.0368,14.7491
4098.9002,14.7587,14.6859
4099.7767,14.5340,14.5757
4099.0346,14.7254,14.5373
4098.2306,14.2071,14.5872
4098.6487,14.2988,14.3525
4096.5342,14.1253,14.2104
4100.6039,14.5305,14.1460
4099.9184,14.1927,14.1838
4100.9817,14.1565,14.1615
4097.7678,14.7159,14.2921
4099.8540,14.3303,14.2335
4098.9168,14.7531,14.4086
4100.3632,14.1866,14.4527
4099.1638,14.2173,14.5278
4101.6034,15.0914,14.6584
4100.3054,15.0241,14.6444
4099.5811,14.0652,14.4976
4100.4067,14.5722,14.4622
4098.8311,14.0231,14.2964
4098.2486,14.3496,14.2387
4098.9297,13.7707,14.2082
4101.5716,13.8655,14.1014
4101.4822,14.2710,14.1145
4101.7498,14.5747,14.0389
4101.3235,14.2212,14.0635
4100.3805,13.8369,13.9988
4099.4799,13.8046,13.9487
4100.8164,14.1082,13.8339
4100.0529,13.5521,13.8871
4099.5646,13.9777,13.8202
4099.0374,12.8922,13.7774
4104.1457,13.9432,13.7176
4100.8764,13.3419,13.7749
4099.9386,13.1963,13.7010
4102.4867,14.2712,13.8017
4101.5871,13.8092,13.7740
4103.7012,13.7175,13.8231
4101.0121,14.6722,13.8256
4103.3477,13.8123,13.7312
4103.3374,14.0071,13.5178
4101.6569,13.8562,13.4732
