depth,measured,predicted
4072.3391,52915.0060,53505.1511
4070.3079,50047.1554,51835.4674
4071.1204,50732.3793,50003.4560
4071.9320,47274.8002,49037.8245
4071.8181,47893.7187,48710.1637
4072.4035,48934.3163,47876.5998
4072.2541,46933.8752,46708.9103
4073.0871,44271.3764,44276.3002
4072.9436,40711.2748,42001.1380
4072.3272,41199.1723,39149.4326
4070.3721,35943.0888,36231.2879
4073.0185,32896.1262,34182.9334
4070.3404,32809.8495,32084.7835
4071.2867,30565.4016,30808.0947
4071.2798,29742.9245,30074.0729
4073.3801,29727.1865,29697.1943
4073.7048,29193.3741,29239.9274
4071.9327,28124.9113,29483.8678
4072.9463,29056.3676,29739.9891
4071.4218,30874.5123,30095.2443
4073.9765,29534.4993,30433.3027
4074.0950,30304.3932,30690.5678
4072.2515,30735.5023,31192.5542
4071.8873,31708.6425,31997.4972
4074.3769,33126.0606,32500.3240
4072.2891,34320.0602,33264.0292
4073.4726,34921.3531,33951.4086
4073.4584,33407.2804,33910.1118
4073.5790,35447.7089,33696.6083
4074.4348,34125.7296,33734.9555
4074.7094,32259.6491,33236.4897
4072.0024,34223.4540,33113.8167
4074.9506,33555.3106,32856.1583
4072.8375,33252.2511,32497.0638
4074.5280,30733.4709,31942.3127
4073.4055,31583.8600,31760.8991
4075.5482,31078.6662,31472.1131
4073.0363,30314.4486,31466.8797
4073.8594,31023.5268,31445.3791
4076.1122,30993.7849,31257.3343
4073.5023,31190.2901,31264.1656
4076.2049,29469.4016,30982.6161
4075.1601,30522.2562,30814.0148
4076.8878,30784.6378,31247.0536
4077.2162,30690.0135,31507.5995
4076.2561,30279.2000,31203.6518
4073.4106,30509.7864,29964.2629
4077.0428,27370.8413,29242.3246
4075.1004,28184.9829,29069.2409
4077.7636,28973.2151,30194.7887
4074.9046,30659.1802,31245.4874
4074.8399,32469.2434,31679.0657
4076.0879,32960.4377,31410.4600
4077.0555,29672.0820,30720.9344
4075.7099,30268.3372,30151.9657
4076.6012,27768.9518,29681.4781
4077.7670,29701.7197,29229.2709
4075.8687,28862.8701,29230.0425
4078.7264,29061.7891,29139.4278
4075.5471,27882.7922,28978.7481
4078.4438,29513.6517,29040.2936
4078.6077,28786.9350,29215.8481
4077.5200,28491.6988,29206.2373
4076.7898,30065.7321,29224.0684
4076.1713,29765.8015,29297.9080
4077.9819,29309.6346,29682.5319
4077.2341,32498.9474,30741.3440
4077.8420,30064.9275,31179.4597
4080.3006,31462.3564,31714.3608
4077.0374,31192.7842,31765.4959
4080.8280,31178.4586,31311.7746
4079.3297,30841.7597,31595.3103
4077.8049,30639.8158,31120.8500
4079.9146,32010.0141,30932.8466
4078.5294,31083.5965,31014.6064
4080.5909,31644.5705,30911.5156
4076.2812,31261.0283,31135.1003
4080.5951,31728.5271,31382.9384
4077.3306,30868.5126,31651.4845
4080.2944,32092.6017,31686.3647
4079.1239,31848.4972,31816.2317
4080.3406,31599.6276,31915.7943
4080.2495,31221.4333,31701.6605
4079.7594,31248.7454,31617.8840
4079.0884,31150.4081,31393.6537
4081.5137,31650.3546,31482.8563
4078.0428,31862.3489,31423.6541
4079.5015,31666.5482,31618.7966
4078.7986,32413.0321,31470.1086
4078.9967,30761.0519,31593.6829
4080.2958,32222.0448,31882.3959
4081.2118,30788.3449,32067.1037
4079.5691,32378.9742,32120.2815
4079.9170,30173.0483,32674.4615
4081.6852,32538.2766,32888.2143
4079.4421,32803.4531,33248.3509
4081.9264,33031.8511,33467.8440
4078.3465,32418.4581,33266.3144
4080.4027,33075.2346,32990.8004
4079.2884,33795.9915,33316.3390
4079.5761,31522.2305,33062.8382
4080.8516,33810.3503,33032.7698
4081.3486,32655.8536,33296.2159
4082.9123,33691.5716,33042.3833
4080.1986,34132.7874,33369.2556
4080.1373,33271.4293,33610.2847
4083.6596,32238.1853,33606.7398
4084.2059,33570.2041,34013.2110
4081.7265,34345.7846,34366.6752
4080.4757,34581.5312,34175.0170
4082.9166,34902.5302,34846.9803
4083.0318,33976.4787,35017.4998
4080.0956,34892.8503,34986.4957
4082.1111,35181.3023,35255.0833
4080.7532,35728.6237,35525.2211
4083.2709,35424.5867,35490.4785
4083.7761,35311.4479,35758.9440
4080.7003,35489.1020,36098.5467
4083.4184,33562.4158,36370.6212
4085.4620,37069.1141,36219.0321
4082.1576,36241.6831,36157.1192
4085.7938,36288.8843,36285.0409
4085.9831,35871.4530,36373.3413
4081.0500,35328.9211,36017.9709
4085.3272,37073.9278,36048.6217
4084.4056,36970.4602,35805.1267
4083.5530,35759.8328,35715.6229
4082.4002,36896.8663,35680.6350
4083.4907,33938.9301,35802.3334
4086.0936,36022.9865,35732.9347
4087.0763,35955.5989,36247.5414
4085.3780,35341.6004,36566.4342
4085.7588,36502.2624,36588.1508
4086.0819,35427.0775,36868.7322
4083.6419,37038.5532,36753.4939
4086.6398,36595.3572,36808.4963
4086.2481,36503.7272,36882.7075
4085.5344,36772.8137,37013.1361
4085.9938,36778.0189,37176.4304
4087.5935,37286.9844,37032.1599
4087.3794,37215.9787,37035.6100
4085.5262,37499.0786,37047.4488
4086.8912,38692.5731,36938.7142
4085.1543,36622.1134,36818.0609
4086.6419,37532.3159,36887.7915
4087.0523,36019.6504,37067.5534
4084.8270,38101.5987,36669.2010
4086.5357,36804.8261,36132.6651
4088.2748,35691.3987,35721.9651
4087.5640,34339.2102,35594.5767
4086.1640,35764.5192,35527.4869
4085.5619,35061.2263,35296.6222
4086.0502,33984.2250,35409.1368
4086.9110,35821.8037,35602.7202
4088.8137,35630.1927,35974.9994
4088.7747,35429.7245,36169.1945
4086.7137,34903.0373,36382.9769
4089.8042,37205.8083,36477.3275
4088.6522,37921.8752,36698.6630
4089.6900,38095.7971,37240.7654
4088.0901,36550.8151,36851.0673
4087.2762,37421.2826,36898.9454
4088.2730,35899.1906,36719.4374
4089.4330,36294.1851,36973.1780
4088.6538,38343.8814,36953.5129
4087.7521,36469.1385,37317.6527
4086.8955,37573.8168,37081.8120
4089.2393,38454.0733,37281.8522
4086.3038,36635.1139,37384.9572
4087.1868,37659.8399,37716.8414
4091.2541,39460.3019,38064.2102
4087.5626,38399.9808,38388.3567
4087.9733,40146.8414,38372.6215
4088.5200,38459.0497,38465.1616
4087.9106,38737.1187,38573.7929
4090.3266,38744.1681,38448.2287
4088.0510,38330.0825,38646.0266
4090.0110,36872.0233,38154.5990
4090.7186,38423.0930,37909.4530
4090.4020,39429.3544,38231.2112
4090.5669,37956.3360,38005.3484
4089.0728,39362.8475,37641.6093
4090.5431,37448.6462,37646.3324
4089.3664,38001.6873,37803.6009
4092.5740,38530.2582,37933.0706
4092.0158,37749.2206,37931.2562
4089.4999,38058.0873,38231.1758
4090.8068,40273.7086,38350.2689
4091.1185,37650.1259,37853.6573
4092.4361,37733.1660,37922.5340
4090.4476,37451.1558,37874.4446
4091.8600,38075.1924,37376.0557
4091.9978,37493.6465,37411.8830
4091.6287,35868.3210,37083.9377
4093.1741,36608.0076,36851.4012
4090.1200,36634.0765,36635.3281
4092.4190,37201.5561,36668.0662
4089.6273,35773.7419,36250.4495
4094.0463,34577.1810,36270.9751
4091.3912,35616.1541,36302.3531
4093.6646,36515.6510,35899.3191
4090.1985,35179.3537,35766.0729
4092.0217,34675.0672,35489.3269
4093.3414,35112.0596,35275.6177
4092.1070,36453.9712,34841.5916
4090.2085,34091.5928,34653.2646
4093.4695,34069.7425,34097.9954
4092.4500,34015.4745,34016.8954
4092.8012,33692.2963,33910.2297
4094.9437,34139.5593,34077.2929
4095.2069,32753.8630,34009.8245
4094.9286,33840.0623,34240.3770
4091.9342,34679.6380,34415.2184
4092.3335,35175.8170,34663.6234
4092.8761,34798.6034,35046.2756
4094.6229,36650.6079,35641.0441
4094.9098,35121.5673,36005.1612
4095.3380,37137.2641,36486.4621
4092.4437,36367.9751,36911.2314
4092.1691,35536.5207,37043.8554
4092.5172,36640.5560,37123.7550
4093.6612,36065.4016,36750.3473
4092.2860,37584.0668,37037.3379
4093.8322,37052.5595,37301.4381
4095.3497,38047.8606,37363.6204
4092.9378,37977.8098,37617.1674
4093.8709,38742.9937,37785.9467
4096.2899,36943.5000,37768.1220
4094.4028,36547.9058,38010.7228
4097.2716,37763.7022,38088.6750
4093.7273,37485.6574,38020.8500
4096.8010,37741.6704,38029.4366
4096.4408,37610.2549,37694.2251
4095.1402,38263.6005,37946.7163
4097.4904,37571.3980,38025.3597
4096.3062,36953.6532,38232.6222
4095.3319,36740.8393,38249.6113
4095.7262,36428.5773,38685.4994
4097.1160,39283.7370,38963.7656
4094.6216,40068.4558,38809.7853
4098.0414,40109.1149,39010.9048
4098.1469,39258.6793,39473.0104
4095.3504,40275.9504,39535.9193
4096.3061,39683.3234,39392.3203
4097.5142,40317.9348,39526.3156
4098.5843,39551.1266,39580.4397
4094.7797,40189.7475,39285.2020
4097.9132,39415.2789,39148.7704
4098.7291,38226.9241,39442.3015
4095.9600,38702.2735,39191.8081
4098.8159,39862.4917,38921.1248
4095.3310,38309.9418,38605.7753
4098.7423,38347.2902,38494.9648
4098.1622,38097.3420,37984.0537
4099.4399,37914.2779,38149.2233
4096.6145,38525.6950,37830.9470
4095.7894,38919.6869,37592.2993
4098.4739,37735.5227,37412.6564
4096.9360,38657.2983,37397.4874
4099.6390,37028.0165,37265.9101
4099.6455,37612.6468,37113.6874
4100.7180,34789.7279,36815.4618
4097.6738,36433.0934,36152.7029
4099.5971,36098.3425,36103.4193
4097.2511,37701.4582,36100.7964
4101.7721,36652.2004,36272.2303
4098.0420,35930.3642,37081.1117
4096.7455,37687.4098,36927.2452
4097.9032,38211.7298,37396.4299
4099.0354,37220.1434,37306.5379
4099.2292,38523.9056,37253.8790
4098.4909,35618.9869,37324.1144
4101.0669,36213.7161,37054.5940
4099.7375,36819.0673,36834.0265
4098.5506,36792.5948,36706.0603
4098.7815,37601.4588,36382.9959
4099.8898,37771.7220,36423.0730
4099.8732,36410.7928,36354.7522
4101.3203,35759.5737,36396.0997
4101.8961,37651.6243,35934.1037
4103.1200,36954.2455,35924.3150
4099.8033,34949.5506,35850.8587
4100.1953,34056.6645,35728.0112
4099.3400,34966.1145,35464.1755
4102.7979,35446.9309,35537.6766
4099.3045,36137.8028,35430.2877
4101.7402,33994.7909,35124.0734
4099.9241,35167.7418,34984.8507
4101.4650,35225.6698,35457.4705
4101.6304,35069.0821,35081.7461
4100.5677,34269.8939,35426.5018
4101.0037,36933.2404,35708.1856
4103.0558,35476.6514,35441.8495
4102.7288,35183.6120,35442.8209
4103.0158,35397.5746,35406.1199
4100.5622,34500.9183,35223.0533
4100.4169,34779.5381,34895.2546
4100.9334,33849.8751,34567.0317
4102.7920,34566.4204,34408.7151
4104.1356,33110.7998,34331.7344
4102.9132,34883.0420,34301.6902
4101.4893,34634.1261,34429.4787
4102.7360,34189.8838,34380.4543
4102.0079,33672.7808,34405.1309
4105.5352,33870.1751,34767.0191
