depth,measured,predicted
4148.4383,0.2721,0.2700
4148.4271,0.2668,0.2701
4149.6270,0.2700,0.2700
4150.8946,0.2720,0.2693
4150.1049,0.2703,0.2700
4150.7722,0.2673,0.2700
4149.1881,0.2826,0.2799
4151.5233,0.2810,0.2810
4149.6620,0.2815,0.2799
4150.5007,0.2826,0.2804
4152.0786,0.2813,0.2795
4152.2986,0.2815,0.2795
4149.6811,0.2766,0.2804
4153.5807,0.2809,0.2802
4151.6254,0.2823,0.2794
4152.7605,0.2846,0.2699
4150.6204,0.2846,0.2711
4151.4535,0.2710,0.2702
4152.0265,0.2746,0.2704
4154.8922,0.2739,0.2699
4150.4056,0.2612,0.2599
4149.8375,0.2578,0.2605
4152.6236,0.2727,0.2695
4155.1025,0.2675,0.2698
4153.0043,0.2683,0.2694
4153.7705,0.2831,0.2803
4152.4696,0.2834,0.2800
4151.1317,0.2800,0.2798
4152.6668,0.2780,0.2799
4154.7843,0.2785,0.2795
4151.2187,0.2830,0.2792
4153.1836,0.2805,0.2803
4151.4531,0.2820,0.2795
4154.5803,0.2803,0.2799
4152.4027,0.2821,0.2803
4151.5129,0.2823,0.2804
4154.1620,0.2836,0.2699
4152.6167,0.2850,0.2700
4156.3214,0.2754,0.2703
4155.9957,0.2725,0.2699
4153.6940,0.2685,0.2700
4154.1854,0.2673,0.2695
4155.1140,0.2711,0.2698
4154.2439,0.2689,0.2697
4154.4710,0.2696,0.2693
4153.8784,0.2745,0.2697
4153.4782,0.2677,0.2695
4154.3110,0.2697,0.2697
4154.3495,0.2716,0.2704
4154.4058,0.2727,0.2707
4153.8935,0.2671,0.2701
4157.2814,0.2713,0.2700
4157.1571,0.2712,0.2693
4156.9417,0.2715,0.2699
4154.7435,0.2736,0.2701
4157.1697,0.2735,0.2703
4154.3479,0.2715,0.2701
4156.9656,0.2675,0.2694
4155.8135,0.2696,0.2699
4157.3064,0.2698,0.2705
4156.3834,0.2689,0.2695
4155.3430,0.2680,0.2698
4157.7976,0.2712,0.2698
4154.6951,0.2600,0.2599
4158.8846,0.2561,0.2597
4156.0968,0.2637,0.2600
4156.8361,0.2681,0.2697
4157.1979,0.2676,0.2699
4155.7282,0.2854,0.2899
4157.6130,0.3094,0.3101
4159.6047,0.3092,0.3105
4160.1782,0.3099,0.3107
4159.7631,0.2985,0.3002
4160.2590,0.2865,0.2903
4157.3744,0.2796,0.2801
4157.0810,0.2785,0.2797
4159.9998,0.2797,0.2803
4158.6535,0.2783,0.2801
4159.8389,0.2777,0.2805
4159.1042,0.2792,0.2803
4158.3919,0.2814,0.2789
4158.6529,0.2827,0.2803
4161.0864,0.2787,0.2802
4158.3466,0.2809,0.2799
4159.9170,0.2802,0.2804
4159.0393,0.2804,0.2797
4160.3626,0.2844,0.2805
4161.2418,0.2817,0.2799
4159.2198,0.2808,0.2793
4159.5411,0.2791,0.2792
4161.1296,0.2779,0.2799
4158.3835,0.2795,0.2799
4159.7509,0.2829,0.2799
4159.4594,0.2857,0.2801
4162.2613,0.2789,0.2795
4159.3489,0.2786,0.2807
4160.8778,0.2810,0.2802
4161.8605,0.2781,0.2800
4162.3755,0.2814,0.2803
4162.2236,0.2760,0.2809
4160.1526,0.2807,0.2796
