depth,measured,predicted
4149.8982,118.6757,119.9171
4151.2315,120.0028,119.8946
4148.9139,120.1511,119.9542
4150.3647,120.9819,120.4382
4149.1131,121.7635,120.8297
4151.1418,119.6603,120.4739
4149.3239,120.6521,121.0514
4149.1575,119.8227,121.3407
4152.6094,120.1310,121.5022
4150.8007,121.8708,121.5661
4151.4119,121.3592,121.3655
4151.1754,120.0265,121.5563
4150.7592,119.9168,121.7208
4149.9314,120.4050,121.6436
4152.5126,120.4352,121.5343
4153.4376,121.5654,121.0906
4151.0186,120.8031,120.5346
4153.2839,117.4936,120.2604
4152.2421,120.7467,119.7761
4151.7283,118.2090,120.1795
4153.7120,118.1516,120.1699
4149.8343,118.6630,120.1629
4152.7338,119.5207,120.4097
4152.2172,121.0954,120.7408
4153.3107,120.5326,120.6443
4152.9931,120.9779,120.9699
4153.3031,120.9627,120.9266
4151.7849,121.2081,121.0117
4154.7638,119.3938,121.0836
4152.0631,121.3461,121.5749
4154.2030,120.7800,121.0086
4152.2086,120.3839,121.0406
4154.9972,120.5211,120.8997
4151.3786,121.3509,120.4958
4153.8948,121.3911,120.8057
4154.3079,120.7421,120.5509
4153.5025,121.7827,120.7010
4154.2080,119.0245,120.4518
4151.3905,120.5235,120.2939
4153.7939,118.7022,119.9636
4155.2622,121.6309,119.5791
4152.9186,119.1923,119.6034
4153.0930,118.2910,119.2795
4155.0657,119.1417,119.1714
4154.6278,119.4178,119.0935
4155.5775,120.7463,119.4360
4153.7915,120.4221,119.8909
4156.5809,120.0663,119.8975
4154.8423,120.3141,120.3063
4154.9203,119.4307,119.5893
4153.6257,120.1067,119.8852
4154.8563,119.7463,119.3930
4155.4710,119.6578,119.1896
4156.5587,119.3959,119.0378
4153.3534,119.9321,119.4329
4154.0624,120.2039,119.3699
4153.4611,118.5521,119.3631
4154.9415,120.6323,119.7468
4156.2478,119.5805,119.6104
4154.0758,120.2849,119.9873
4157.2529,119.9550,119.6306
4154.8627,120.0318,119.5487
4158.4036,120.6800,119.7065
4158.2662,119.0403,119.7396
4156.2544,120.3768,119.2235
4156.6915,119.2994,119.4652
4157.9829,119.2996,119.0545
4156.2741,117.7690,118.5695
4158.1045,119.1989,118.2859
4156.4498,119.1117,120.4756
4157.8935,118.7343,120.4957
4159.1385,122.5775,122.7301
4155.7141,125.6899,125.7830
4157.5332,126.4761,126.2585
4157.1494,127.8511,127.5681
4157.7860,129.0488,128.9486
4154.9151,129.3722,128.8622
4158.4614,129.5892,128.7829
4157.3984,127.8444,128.2552
4156.4023,126.3622,126.4802
4159.4114,125.4548,124.2436
4158.7666,123.9072,124.1493
4156.9857,123.3885,122.6681
4156.8292,122.9202,121.9050
4157.7007,121.7629,121.6890
4161.7125,119.0687,121.3867
4157.2458,121.3173,121.6372
4160.9049,121.8819,121.4354
4157.6495,122.1939,121.6823
4157.8717,122.8441,121.7936
4158.7495,121.2316,121.5983
4161.2173,121.2979,121.8778
4162.1201,122.7048,121.7553
4158.7388,120.7911,121.6849
4158.8202,123.3907,121.4120
4157.7244,120.9325,121.3919
4160.3244,122.0587,121.4275
4158.7069,120.6643,121.2978
4162.2497,120.5157,121.0656
4159.6392,122.7129,121.1223
4160.5217,121.2344,121.0152
4161.3307,120.6652,121.1844
4161.2870,122.7976,121.2752
4159.3260,121.0759,121.4324
4158.9622,121.2903,121.4000
4159.4349,121.1228,121.6382
4161.1117,120.8766,121.4982
4160.2892,121.9126,121.5258
4161.7273,121.2466,121.1692
4159.5953,122.3461,121.0493
4159.9216,121.7152,121.0687
4162.6509,120.4577,121.1350
4160.9045,119.8965,121.3944
4162.2291,120.7785,121.3691
4160.9901,120.6155,121.7736
4162.3940,122.4245,122.0361
4160.7458,123.4800,122.1331
4162.8607,123.2906,122.9269
4159.9338,124.1532,123.8653
4163.6332,123.6022,123.6463
4160.1245,123.0614,123.8948
4159.2930,125.2782,124.3721
4161.4314,124.3900,124.4577
4163.6196,125.0516,124.1285
4163.4151,124.1814,124.6243
4164.3659,124.5495,124.8150
4161.4816,125.2349,125.0861
4162.1424,125.6192,125.3984
4162.5709,125.9730,125.3816
4162.9563,126.1988,125.5043
4163.3723,124.5930,125.3334
4163.8579,124.9637,125.4847
4163.3445,125.3583,125.3931
4161.6159,124.6137,125.3132
4163.8423,124.5484,125.8143
4163.4336,125.7097,126.4459
4163.6205,126.4814,126.3904
4164.3985,126.0995,126.2420
4163.1730,124.2374,125.2670
4167.2251,123.7902,125.1995
4163.6000,124.3333,122.7529
4165.8462,120.9461,120.1521
4166.2636,119.8477,120.4148
4166.0914,119.3373,117.7228
4166.4780,115.5401,115.6764
4166.1568,115.3739,115.6583
4165.8427,116.7427,116.4627
4166.8916,114.6118,116.5176
4167.0846,118.2521,118.6156
4165.9803,119.5356,120.6440
4166.9712,119.5254,121.3656
4162.8402,122.6199,122.5440
4163.7437,122.2884,123.7077
4164.9824,122.3823,123.6160
4167.2189,123.1415,123.5897
4166.7535,122.0782,123.2386
4165.5090,122.8750,123.0555
4168.0388,120.8900,121.3337
4167.3132,120.3520,121.2302
4168.1814,121.1575,121.3843
4168.0199,121.0458,121.1250
4167.6134,121.7344,121.0832
4166.9694,120.4353,121.6195
4168.3766,122.7399,121.4167
4165.2163,120.9154,120.7480
4166.1577,121.5743,121.0176
4166.4789,122.9071,120.8279
4168.0684,120.9739,120.7767
4167.1927,119.5922,120.4967
4168.4149,120.5675,120.4202
4167.9125,121.7284,120.3443
4166.6916,120.7353,120.8664
4169.0124,120.6956,121.2380
4167.8581,121.1300,120.7479
4166.2314,121.2335,120.6769
4166.6831,120.6756,120.7024
4167.7340,119.2121,120.5409
4166.5538,120.2040,120.2728
4166.2969,120.4710,120.3912
4167.8633,121.8682,119.9954
4170.2690,119.5770,120.2805
4169.5870,121.2188,120.5848
4170.2860,120.9488,120.9151
4167.4959,120.3703,121.0062
4169.3507,121.2594,120.8247
4168.1797,121.8780,120.8441
4167.4581,121.0763,120.8890
4170.3111,121.2792,120.9509
4169.7267,121.9308,120.9250
4171.3610,120.6165,120.9052
4169.8830,120.9950,120.1533
4170.3457,118.9845,119.6478
4169.9335,119.5735,119.6095
4168.3739,120.2864,119.8899
4168.7609,120.3830,120.2115
4170.0168,119.6055,119.8336
4170.6083,119.1023,119.9164
4169.9332,120.0182,119.8360
4171.4674,119.4780,119.3201
4168.7771,119.3440,119.1841
4172.1906,118.9571,119.4247
4170.4039,117.4610,119.6383
4169.1302,118.5891,119.1505
4169.9743,119.5116,119.1756
4171.1376,119.1803,119.0910
4173.8230,119.6961,119.1391
4171.2325,119.5698,119.9776
4171.4043,120.2827,120.0459
4170.9344,120.0912,119.6864
4173.0657,119.5016,119.7142
4173.4206,118.5590,119.4447
4170.8932,119.6040,119.4275
4172.8476,118.5638,119.3312
4173.3445,118.0887,119.2267
4174.4918,119.3452,119.2150
4171.2881,118.9249,119.0447
4173.4140,119.3928,119.0586
4172.2166,119.7400,118.7069
4171.9546,118.3780,119.1043
4170.8427,119.2397,119.0156
4174.9323,119.3851,119.1410
4172.0213,120.5712,119.2932
4174.8253,119.6387,119.2242
4173.9239,120.6857,119.5820
4173.1544,119.7088,119.6148
4172.6279,120.2043,119.7484
4171.0231,118.5579,119.1663
4174.9956,119.3613,118.6813
4172.8686,117.4460,118.8120
4172.6751,120.0898,118.6418
4174.9981,117.5656,118.4683
4174.3913,117.5676,118.1157
4174.6737,116.7794,117.8994
4175.8804,116.6905,118.0002
4174.8606,118.5836,118.2995
4176.1051,119.1046,119.3073
4172.5427,119.6375,119.4818
4173.0851,120.1384,119.7220
4174.4117,121.5427,119.8824
4173.4529,119.0113,119.8510
4174.7642,121.5086,120.6518
4175.7126,120.4553,121.3133
4172.8150,121.7280,121.3161
4176.8527,120.5836,121.9235
4176.7358,121.7096,121.9470
4174.1633,123.3237,122.4334
4175.9245,123.2896,122.3776
4175.9001,122.7936,122.6884
4176.5217,124.0322,122.9135
4173.7128,122.2334,122.2854
4172.7451,122.9120,122.5549
4178.0582,124.1575,122.4060
4175.7489,122.1898,122.6929
4177.8758,121.7303,122.5876
4176.6913,121.5992,122.9053
4176.6412,124.6197,122.9482
4176.7836,123.7436,122.8270
4176.8845,123.1594,123.1600
4176.3576,123.7876,123.0196
4178.4428,122.6570,123.0275
4176.4942,123.4177,123.2239
4175.9803,122.4173,122.7930
4176.6775,124.4132,122.9074
4177.4155,121.9337,122.7971
4175.9560,122.2683,122.5139
4174.6038,121.6443,122.5755
4176.5381,122.2116,122.4347
4178.1564,122.5333,122.5804
4177.5246,123.0375,122.5804
4178.9058,122.7457,122.6577
4178.2520,122.5506,122.5391
4176.2065,123.6226,122.3187
4176.8419,122.9975,122.5375
4176.3739,122.8520,122.4129
4179.6073,122.6292,122.6034
4176.4466,122.7748,122.2895
4177.8669,121.8835,122.1673
4176.8309,124.0758,122.0025
4177.1452,122.3071,122.1682
4178.0095,121.7555,122.1708
4176.6567,122.3626,122.0985
4181.5288,121.7573,122.0739
4181.9875,123.2726,122.5099
4180.1382,123.4879,122.5983
4180.8310,122.2660,122.8355
4179.7109,124.1773,123.3550
4177.9436,124.0604,123.0318
4179.1739,123.4421,123.3667
4179.8461,123.2105,123.5511
4180.7934,123.8688,123.3098
4180.3451,123.1670,123.6064
4180.8952,124.5409,123.7352
4180.8137,124.0844,124.2291
4182.6388,124.7368,124.2613
4179.4769,123.8541,124.1063
4182.2596,123.8529,124.2238
4179.5752,124.3335,124.4232
4179.7333,124.5632,124.7332
4182.1000,124.6229,124.5505
4182.1419,124.5909,124.6384
4179.6406,125.0630,124.8970
4181.3598,124.4799,124.7289
4183.5677,125.7875,124.7812
4181.3119,126.2529,124.8875
4183.0952,125.1683,124.7771
4180.0238,125.1927,125.2905
4183.1949,124.3935,125.3192
4179.6570,124.4589,125.5079
4183.4701,125.8328,125.6614
4181.1527,124.1875,125.4400
