depth,measured,predicted
4149.4120,13.4877,13.4315
4151.9485,13.4670,13.4099
4150.2584,13.6511,13.4104
4148.2620,13.6296,13.2281
4151.6205,12.7796,13.0600
4152.2171,13.3480,13.0830
4151.3167,13.2999,12.9321
4149.9306,12.9019,12.7933
4149.6065,13.1687,12.9000
4147.8942,13.1079,12.8597
4150.9001,12.5860,12.8587
4149.9473,12.6831,12.9257
4150.7686,12.3741,12.8461
4150.4060,12.6891,12.6578
4152.2592,12.8786,12.7749
4151.7377,12.9571,13.0274
4152.7785,13.3220,13.3773
4151.8488,14.3147,13.8363
4152.8339,13.1690,13.2135
4149.9565,12.5544,12.3729
4153.3822,11.7479,11.6606
4152.3854,11.6710,11.7268
4152.2874,12.5521,12.4939
4151.8337,13.4455,13.4850
4150.9140,13.9455,14.1415
4152.3775,14.4650,14.2174
4153.9369,14.4718,14.0478
4151.1024,13.5802,13.6993
4152.6308,13.2846,13.6509
4154.7860,13.7393,13.9587
4152.9915,14.4023,14.2030
4153.0426,13.6780,14.3117
4152.9872,14.6969,14.3190
4154.4836,14.2807,14.3754
4152.6901,14.5636,14.6082
4155.3077,14.4858,14.4509
4155.9075,14.4271,14.6834
4152.6018,14.5931,14.6826
4155.7512,14.9537,14.7240
4152.7443,14.9115,14.8508
4152.8783,14.8548,14.8904
4153.4550,14.5377,14.9311
4154.5276,15.4549,14.9140
4155.1042,15.0873,14.9385
4152.4622,15.1519,14.9645
4156.2289,14.7703,14.8870
4152.8614,14.6639,14.8791
4153.9795,15.0239,14.8041
4153.3648,14.9222,14.8037
4155.8313,14.2409,14.8830
4154.8945,14.8956,14.7993
4155.9569,14.7542,14.7337
4157.5214,14.6522,14.9018
4154.8112,14.7629,14.8515
4155.9463,14.6916,14.8192
4155.1571,14.7921,14.7594
4156.3469,14.8047,14.7374
4156.2720,14.8090,14.6788
4159.2062,14.6618,14.6932
4157.0750,15.0344,14.6212
4158.2927,14.9362,14.4954
4156.5476,14.3599,14.5108
4158.3760,14.3628,14.4439
4155.4439,14.6479,14.4018
4158.9445,14.0571,14.4422
4158.7673,14.4198,14.5300
4156.5880,14.4620,14.5062
4157.9878,14.0459,14.5177
4156.9768,14.0749,14.7192
4157.7784,15.1075,14.9744
4158.7083,15.5427,14.9188
4157.5472,15.0423,14.9114
4159.6970,14.9616,14.7180
4155.6835,14.2939,14.4613
4155.1861,13.6395,14.2024
4156.6174,13.9422,14.1994
4157.1422,13.9929,13.9608
4158.1883,14.1843,13.8210
4158.4745,13.7799,13.7584
4160.7796,13.7333,13.7905
4157.0777,13.3924,13.5871
4161.1169,13.4715,13.6508
4157.5184,14.0042,13.6736
4156.5279,13.6711,13.6649
4160.8919,13.7226,13.6260
4159.1149,14.4012,13.7233
4158.5909,13.7526,13.9004
4157.7607,14.3210,13.9757
4160.0558,14.4299,14.0471
4160.8810,13.9951,14.0660
4157.6408,14.0011,14.2704
