depth,measured,predicted
4149.8522,34463.1137,34279.2720
4151.5292,34964.5577,34509.1671
4149.5714,34800.0404,34360.2534
4151.2152,33570.6970,34035.1593
4150.6035,33273.2751,33566.0433
4151.3811,32941.6570,33878.6135
4149.2392,32933.4912,33170.5895
4149.4689,33522.9007,32967.4950
4152.9608,33008.5455,33061.0732
4150.9964,33318.1383,32913.9525
4150.4542,33561.8236,33280.3478
4150.2345,33563.3294,33212.2496
4151.1521,32191.5182,32748.2708
4149.5677,33156.5846,32716.7258
4150.0055,33546.1110,32809.2847
4150.5429,33132.7833,33575.1507
4151.8871,33883.5438,34241.5272
4151.1668,36207.1140,35330.3568
4150.2733,35141.6337,35186.1748
4151.0330,33664.1770,34037.5271
4152.6848,32249.1683,31698.0627
4153.9312,29938.9029,29839.6101
4154.2830,30123.8987,29704.5471
4151.2326,31924.8914,32292.5052
4153.7919,33492.5525,34347.2737
4153.0665,36631.9577,36089.9160
4153.4614,36078.4981,36828.0504
4153.9189,37235.5895,36141.3727
4151.9711,35565.6990,36028.3323
4150.7148,35195.0184,35288.2107
4153.3405,34851.1420,35511.8214
4152.8859,35278.8744,36097.2311
4150.9911,36986.4230,36648.1260
4151.8638,36838.5321,37210.5220
4153.3135,37094.3694,37170.8086
4152.4812,38574.9334,37156.4253
4152.8100,36852.8943,37412.7271
4154.9202,36975.6543,37482.5029
4153.8969,36809.6458,37593.7689
4155.1474,37267.2978,37763.8980
4151.8952,37128.3627,37808.1560
4155.3891,37888.0665,37919.5676
4153.4722,37757.2818,38000.3116
4154.2780,37967.7054,38357.2336
4153.7860,38563.7392,38043.3119
4154.8874,38583.6170,38198.4988
4153.7076,37943.1992,38152.8489
4153.8178,37359.7372,38250.2056
4154.5556,38560.5079,38238.5575
4155.1221,37040.7707,38087.2099
4154.8657,37865.5748,37829.2005
4154.4511,37519.7889,37790.8074
4154.8077,37373.1250,37754.1902
4154.3682,38749.7627,37774.3366
4155.4473,36761.0477,37982.4268
4155.4671,37787.5780,38133.4773
4154.2105,37560.9883,37859.9343
4153.8657,37968.0199,37963.1052
4155.0832,37980.5892,37813.5846
4156.3573,38165.8976,37756.4327
4156.5639,37859.5393,37806.5314
4157.0424,37062.7362,37512.2273
4156.1379,37370.3454,37502.8840
4155.3906,37427.0460,37333.0602
4155.5360,36802.8157,36977.2646
4158.4310,36381.6290,37247.6112
4156.9643,36564.8653,36972.9119
4155.4516,36026.6078,36510.5566
4156.2756,37398.7974,36576.8831
4156.0813,36544.4209,37145.5676
4155.5330,38305.2339,37413.9607
4157.3783,38140.1015,38824.2596
4159.3287,39471.3616,38440.1028
4158.2243,39645.8374,39464.5071
4156.4990,40064.2747,39836.8938
4158.2229,40614.6123,39909.0795
4156.7802,39340.0390,39040.9862
4159.5061,38043.2812,38040.5663
4156.4606,36802.7048,37287.1461
4158.1698,36586.0728,37104.9803
4158.1597,35485.3606,36157.7792
4158.6237,35452.0430,35598.6557
4159.7766,35506.8623,35538.8225
4159.0102,36156.5537,35106.4620
4157.5040,34992.2914,35137.9782
4159.3650,36367.9035,35065.9561
4160.2189,35216.2259,35222.5998
4158.1777,35482.4938,35104.8391
4159.2269,35652.1872,35176.7078
4157.8094,35370.6966,35581.8472
4159.8290,35154.0575,35525.6438
4157.4389,36152.9743,35882.4584
4158.3927,36260.8611,36474.6374
4159.9330,36644.2796,36401.5861
4158.4478,37197.3065,36892.7815
4161.1599,37866.0144,36869.0485
4161.5155,36287.3658,37341.4660
4160.2195,38344.2350,37609.2428
4158.4145,38753.5227,37760.0991
4160.5765,37855.7976,37981.0228
4159.7839,39085.0047,38236.8073
4160.8071,39406.3410,38421.4833
4161.3353,38997.4022,38270.9815
4159.9918,38686.7227,38627.8721
4162.9249,37833.6457,38210.8352
4161.9629,37779.3958,38459.8687
4161.5960,38736.4474,38141.5578
4160.9727,39111.1446,37855.7320
4162.9239,38599.7996,37763.1379
4162.3052,38892.1316,37722.6928
4160.1680,37492.8681,37353.1886
4161.7680,38179.3329,37540.1127
4161.4463,39436.8925,37418.6617
4160.2520,38117.0068,37607.9341
4159.7411,37955.5380,37628.4897
4159.9405,37536.3683,37024.0201
4163.8341,37911.5097,37101.4218
4164.3748,37257.0366,36746.3175
4163.2529,35187.3647,36620.7345
4161.8760,35680.8237,36346.6571
4161.2817,38324.5167,36513.7593
4162.8283,37279.6931,36459.9295
4161.2548,35965.7473,36398.1087
4162.6610,35351.8579,36526.8911
4164.0222,37774.8815,36290.0115
4162.9048,36394.7324,36308.2161
4163.4832,36123.2235,35731.2970
4164.5799,35970.9647,35541.2583
4161.0358,34907.2344,34690.3882
4161.8942,33636.3119,33638.9838
4161.9454,33389.3876,33762.3690
4162.6889,32764.3391,33113.1412
4165.4502,32732.2294,32401.3191
4165.5866,31467.9083,32178.7148
4163.0407,32197.3579,31974.0835
4162.5942,32142.7102,32217.5663
4166.1663,32330.0236,32241.4953
4162.9171,33079.3321,32738.3446
4165.7825,33202.9677,33572.4650
4164.7511,33611.9573,33555.5014
4165.2067,33134.8653,34598.0171
4166.1991,37436.8772,36512.8322
4165.2532,36712.1186,36991.1940
4165.1039,37712.0559,38176.6289
4166.7522,40595.1981,39646.2428
4162.8345,39238.1651,40156.9927
4163.8742,41654.3367,40589.6306
4164.1243,41251.7000,41024.0783
4166.4232,41590.3941,41092.1069
4164.0827,41578.2838,40922.5556
4166.9824,40488.8936,40727.5497
4166.7074,41472.5820,40868.5020
4167.5458,39547.5491,40614.3968
4164.6164,39970.5253,40647.7511
4168.1828,40475.4465,40817.7687
4165.3481,41768.0440,40959.2984
4167.6009,41906.8179,41129.8795
4167.0245,41275.5667,41284.4772
4165.7883,41610.3657,41375.7483
4165.0270,41392.7382,41464.9046
4169.3130,41130.0443,41360.3063
4165.9349,41190.1398,41447.5829
