well,target,removed_feature,model,n_features,features,r2_train,r2_test,elapsed_sec,formula
ZXX7,YMOD,(none),Linear_single,9,"['DTC', 'DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9339,0.9072,0.0,-688.8 * DTS + 1.283e+05
ZXX7,YMOD,(none),Linear_multi,9,"['DTC', 'DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9952,-9.3838,0.0,linear_multi
ZXX7,YMOD,(none),RF,9,"['DTC', 'DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.998,0.9383,0.4,"RF(n=300, depth=10, leaf=5)"
ZXX7,YMOD,(none),XGBoost,9,"['DTC', 'DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9996,0.9235,0.9,"XGB(n=300, depth=4, lr=0.05, reg)"
ZXX7,YMOD,(none),MLP_BP,9,"['DTC', 'DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9972,-285.0133,4.2,"MLP-BP(128,64,32, adaptive_lr, ES)"
ZXX7,SMOD,(none),Linear_single,9,"['DTC', 'DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9428,0.9337,0.0,-0.281 * DTS + 51.59
ZXX7,SMOD,(none),Linear_multi,9,"['DTC', 'DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9949,-25.1281,0.0,linear_multi
ZXX7,SMOD,(none),RF,9,"['DTC', 'DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9987,0.9372,0.5,"RF(n=300, depth=10, leaf=5)"
ZXX7,SMOD,(none),XGBoost,9,"['DTC', 'DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9996,0.9347,0.3,"XGB(n=300, depth=4, lr=0.05, reg)"
ZXX7,SMOD,(none),MLP_BP,9,"['DTC', 'DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9985,-511.8566,1.4,"MLP-BP(128,64,32, adaptive_lr, ES)"
ZXX7,POIS,(none),Linear_single,9,"['DTC', 'DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9648,0.9083,0.0,0.3244 * RMSC + -0.3077
ZXX7,POIS,(none),Linear_multi,9,"['DTC', 'DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9723,-18.6615,0.0,linear_multi
ZXX7,POIS,(none),RF,9,"['DTC', 'DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9925,0.8955,0.5,"RF(n=300, depth=10, leaf=5)"
ZXX7,POIS,(none),XGBoost,9,"['DTC', 'DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9908,0.9127,0.3,"XGB(n=300, depth=4, lr=0.05, reg)"
ZXX7,POIS,(none),MLP_BP,9,"['DTC', 'DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9051,-17248.9031,2.4,"MLP-BP(128,64,32, adaptive_lr, ES)"
ZXX7,SHMAX,(none),Linear_single,9,"['DTC', 'DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.0492,-0.1668,0.0,-0.05987 * LLD + -575.7
ZXX7,SHMAX,(none),Linear_multi,9,"['DTC', 'DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.89,-36785.0195,0.0,linear_multi
ZXX7,SHMAX,(none),RF,9,"['DTC', 'DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9911,-11.9024,0.5,"RF(n=300, depth=10, leaf=5)"
ZXX7,SHMAX,(none),XGBoost,9,"['DTC', 'DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",1.0,-12.343,0.3,"XGB(n=300, depth=4, lr=0.05, reg)"
ZXX7,SHMAX,(none),MLP_BP,9,"['DTC', 'DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9984,-41360.0179,6.4,"MLP-BP(128,64,32, adaptive_lr, ES)"
ZXX2,YMOD,DTC,Linear_single,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.7806,0.5959,0.0,-280.9 * DTS + 7.627e+04
ZXX2,YMOD,DTC,Linear_multi,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.8141,-1.6782,0.0,linear_multi
ZXX2,YMOD,DTC,RF,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9725,0.3348,0.4,"RF(n=300, depth=10, leaf=5)"
ZXX2,YMOD,DTC,XGBoost,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9713,0.4693,0.2,"XGB(n=300, depth=4, lr=0.05, reg)"
ZXX2,YMOD,DTC,MLP_BP,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9108,-1398.1553,9.9,"MLP-BP(128,64,32, adaptive_lr, ES)"
ZXX2,SMOD,DTC,Linear_single,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.7701,0.5068,0.0,-0.1125 * DTS + 28.1
ZXX2,SMOD,DTC,Linear_multi,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.8326,-1.091,0.0,linear_multi
ZXX2,SMOD,DTC,RF,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9765,0.2427,0.4,"RF(n=300, depth=10, leaf=5)"
ZXX2,SMOD,DTC,XGBoost,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9732,0.3052,0.2,"XGB(n=300, depth=4, lr=0.05, reg)"
ZXX2,SMOD,DTC,MLP_BP,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9842,-655.8138,7.2,"MLP-BP(128,64,32, adaptive_lr, ES)"
ZXX2,POIS,DTC,Linear_single,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9844,0.8928,0.0,0.3068 * RMSC + -0.2756
ZXX2,POIS,DTC,Linear_multi,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9868,-0.472,0.0,linear_multi
ZXX2,POIS,DTC,RF,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9998,0.8227,0.4,"RF(n=300, depth=10, leaf=5)"
ZXX2,POIS,DTC,XGBoost,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.998,0.7743,0.2,"XGB(n=300, depth=4, lr=0.05, reg)"
ZXX2,POIS,DTC,MLP_BP,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9954,-4926.122,2.7,"MLP-BP(128,64,32, adaptive_lr, ES)"
ZXX2,SHMAX,DTC,Linear_single,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.6111,0.6782,0.0,-0.3944 * DTS + 170.8
ZXX2,SHMAX,DTC,Linear_multi,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.7772,-3.3597,0.0,linear_multi
ZXX2,SHMAX,DTC,RF,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9259,0.1284,0.4,"RF(n=300, depth=10, leaf=5)"
ZXX2,SHMAX,DTC,XGBoost,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9674,-0.0308,0.2,"XGB(n=300, depth=4, lr=0.05, reg)"
ZXX2,SHMAX,DTC,MLP_BP,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9476,-12827.5258,4.8,"MLP-BP(128,64,32, adaptive_lr, ES)"
ZXX3,YMOD,DTC,Linear_single,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9496,0.835,0.0,-600.9 * DTS + 1.162e+05
ZXX3,YMOD,DTC,Linear_multi,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9893,-36.2348,0.0,linear_multi
ZXX3,YMOD,DTC,RF,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9978,0.8009,0.5,"RF(n=300, depth=10, leaf=5)"
ZXX3,YMOD,DTC,XGBoost,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9984,0.7904,0.2,"XGB(n=300, depth=4, lr=0.05, reg)"
ZXX3,YMOD,DTC,MLP_BP,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9946,0.6883,5.2,"MLP-BP(128,64,32, adaptive_lr, ES)"
ZXX3,SMOD,DTC,Linear_single,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9602,0.9044,0.0,-0.2509 * DTS + 47.41
ZXX3,SMOD,DTC,Linear_multi,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9884,-49.6461,0.0,linear_multi
ZXX3,SMOD,DTC,RF,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9985,0.8839,0.5,"RF(n=300, depth=10, leaf=5)"
ZXX3,SMOD,DTC,XGBoost,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9987,0.8563,0.2,"XGB(n=300, depth=4, lr=0.05, reg)"
ZXX3,SMOD,DTC,MLP_BP,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.998,0.5043,3.3,"MLP-BP(128,64,32, adaptive_lr, ES)"
ZXX3,POIS,DTC,Linear_single,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9925,0.9571,0.0,0.3425 * RMSC + -0.3503
