well,target,test_frac,model,n_train,n_test,r2_train,r2_test,elapsed_sec
ZXX7,POIS,0.1,Linear_single,2948,328,0.9731,0.9351,0.0
ZXX7,POIS,0.1,RF,2948,328,0.9967,0.9694,0.5
ZXX7,POIS,0.1,XGBoost,2948,328,0.9953,0.9389,0.9
ZXX7,POIS,0.1,MLP_BP,2948,328,0.9784,-20560.7459,4.4
ZXX7,SHMAX,0.1,Linear_single,2948,328,0.0014,0.0498,0.0
ZXX7,SHMAX,0.1,RF,2948,328,0.9905,-11.9031,0.5
ZXX7,SHMAX,0.1,XGBoost,2948,328,1.0,-12.2212,0.3
ZXX7,SHMAX,0.1,MLP_BP,2948,328,0.9971,-68847.2145,5.1
ZXX2,YMOD,0.2,Linear_single,2140,535,0.6082,0.6993,0.0
ZXX2,YMOD,0.2,RF,2140,535,0.975,0.3668,0.4
ZXX2,YMOD,0.2,XGBoost,2140,535,0.9751,0.5562,0.2
ZXX2,YMOD,0.2,MLP_BP,2140,535,0.9351,-1310.6548,7.1
ZXX2,SMOD,0.2,Linear_single,2140,535,0.7701,0.5068,0.0
ZXX2,SMOD,0.2,RF,2140,535,0.9802,0.2741,0.4
ZXX2,SMOD,0.2,XGBoost,2140,535,0.9787,0.2766,0.3
ZXX2,SMOD,0.2,MLP_BP,2140,535,0.9883,-1418.9555,5.7
ZXX2,POIS,0.2,Linear_single,2140,535,0.9844,0.8928,0.0
ZXX2,POIS,0.2,RF,2140,535,0.9998,0.8232,0.4
ZXX2,POIS,0.2,XGBoost,2140,535,0.998,0.7743,0.2
ZXX2,POIS,0.2,MLP_BP,2140,535,0.9772,-42346.9369,3.4
ZXX2,SHMAX,0.2,Linear_single,2140,535,0.6111,0.6782,0.0
ZXX2,SHMAX,0.2,RF,2140,535,0.9501,0.1404,0.4
ZXX2,SHMAX,0.2,XGBoost,2140,535,0.9718,0.0468,0.3
ZXX2,SHMAX,0.2,MLP_BP,2140,535,0.9646,-13459.919,6.5
ZXX3,YMOD,0.2,Linear_single,3266,816,0.8398,0.9247,0.0
ZXX3,YMOD,0.2,RF,3266,816,0.9983,0.8163,0.5
ZXX3,YMOD,0.2,XGBoost,3266,816,0.9986,0.8012,0.3
ZXX3,YMOD,0.2,MLP_BP,3266,816,0.9888,0.6575,3.6
ZXX3,SMOD,0.2,Linear_single,3266,816,0.9602,0.9044,0.0
ZXX3,SMOD,0.2,RF,3266,816,0.9985,0.8851,0.5
ZXX3,SMOD,0.2,XGBoost,3266,816,0.9988,0.8441,0.3
ZXX3,SMOD,0.2,MLP_BP,3266,816,0.997,-0.012,2.1
ZXX3,POIS,0.2,Linear_single,3266,816,0.9925,0.9571,0.0
ZXX3,POIS,0.2,RF,3266,816,0.9992,0.9236,0.5
ZXX3,POIS,0.2,XGBoost,3266,816,0.9947,0.8428,0.2
ZXX3,POIS,0.2,MLP_BP,3266,816,0.9036,-22.4741,3.4
ZXX3,SHMAX,0.2,Linear_single,3266,816,0.2466,0.5545,0.0
ZXX3,SHMAX,0.2,RF,3266,816,0.934,0.1747,0.5
ZXX3,SHMAX,0.2,XGBoost,3266,816,0.9112,0.4096,0.3
ZXX3,SHMAX,0.2,MLP_BP,3266,816,0.8004,-20.9761,7.8
ZXX6,YMOD,0.2,Linear_single,915,229,0.9515,0.7806,0.0
ZXX6,YMOD,0.2,RF,915,229,0.9943,-0.0978,0.4
ZXX6,YMOD,0.2,XGBoost,915,229,0.999,0.0668,0.2
ZXX6,YMOD,0.2,MLP_BP,915,229,0.9964,-8591.6648,5.3
ZXX6,SMOD,0.2,Linear_single,915,229,0.8879,0.7748,0.0
ZXX6,SMOD,0.2,RF,915,229,0.9941,-0.0414,0.4
ZXX6,SMOD,0.2,XGBoost,915,229,0.9987,0.0452,0.3
ZXX6,SMOD,0.2,MLP_BP,915,229,0.9955,-35313.7033,1.7
ZXX6,POIS,0.2,Linear_single,915,229,0.996,0.8803,0.0
ZXX6,POIS,0.2,RF,915,229,0.998,0.6894,0.4
ZXX6,POIS,0.2,XGBoost,915,229,0.9892,0.57,0.2
ZXX6,POIS,0.2,MLP_BP,915,229,0.9209,-181407.514,2.2
ZXX6,SHMAX,0.2,Linear_single,915,229,0.0218,0.0714,0.0
ZXX6,SHMAX,0.2,RF,915,229,0.9869,-0.0287,0.4
ZXX6,SHMAX,0.2,XGBoost,915,229,0.9946,-0.029,0.3
ZXX6,SHMAX,0.2,MLP_BP,915,229,0.9664,-81.8721,4.8
ZXX7,YMOD,0.2,Linear_single,2621,655,0.9339,0.9072,0.0
ZXX7,YMOD,0.2,RF,2621,655,0.998,0.9383,0.5
ZXX7,YMOD,0.2,XGBoost,2621,655,0.9996,0.9235,0.2
ZXX7,YMOD,0.2,MLP_BP,2621,655,0.9972,-285.0133,3.2
ZXX7,SMOD,0.2,Linear_single,2621,655,0.9428,0.9337,0.0
ZXX7,SMOD,0.2,RF,2621,655,0.9987,0.9372,0.5
ZXX7,SMOD,0.2,XGBoost,2621,655,0.9996,0.9347,0.2
ZXX7,SMOD,0.2,MLP_BP,2621,655,0.9985,-511.8566,1.5
ZXX7,POIS,0.2,Linear_single,2621,655,0.9648,0.9083,0.0
ZXX7,POIS,0.2,RF,2621,655,0.9925,0.8955,0.5
ZXX7,POIS,0.2,XGBoost,2621,655,0.9908,0.9127,0.2
ZXX7,POIS,0.2,MLP_BP,2621,655,0.9051,-17248.9031,2.5
ZXX7,SHMAX,0.2,Linear_single,2621,655,0.0492,-0.1668,0.0
ZXX7,SHMAX,0.2,RF,2621,655,0.9911,-11.9024,0.5
ZXX7,SHMAX,0.2,XGBoost,2621,655,1.0,-12.343,0.3
ZXX7,SHMAX,0.2,MLP_BP,2621,655,0.9984,-41360.0179,6.5
ZXX2,YMOD,0.3,Linear_single,1873,802,0.6393,0.7691,0.0
ZXX2,YMOD,0.3,RF,1873,802,0.974,0.4513,0.4
ZXX2,YMOD,0.3,XGBoost,1873,802,0.9797,0.5093,0.3
ZXX2,YMOD,0.3,MLP_BP,1873,802,0.9492,-1337.8889,16.0
ZXX2,SMOD,0.3,Linear_single,1873,802,0.5721,0.6442,0.0
ZXX2,SMOD,0.3,RF,1873,802,0.9795,0.3934,0.4
ZXX2,SMOD,0.3,XGBoost,1873,802,0.9821,0.4454,0.3
ZXX2,SMOD,0.3,MLP_BP,1873,802,0.9827,-885.5869,4.5
ZXX2,POIS,0.3,Linear_single,1873,802,0.9855,0.9159,0.0
ZXX2,POIS,0.3,RF,1873,802,0.9997,0.8511,0.4
ZXX2,POIS,0.3,XGBoost,1873,802,0.9971,0.798,0.2
ZXX2,POIS,0.3,MLP_BP,1873,802,0.9779,-26235.889,3.9
ZXX2,SHMAX,0.3,Linear_single,1873,802,0.6587,0.7671,0.0
ZXX2,SHMAX,0.3,RF,1873,802,0.9382,0.2389,0.4
ZXX2,SHMAX,0.3,XGBoost,1873,802,0.9782,0.2012,0.2
ZXX2,SHMAX,0.3,MLP_BP,1873,802,0.9601,-11436.8236,4.5
ZXX3,YMOD,0.3,Linear_single,2857,1225,0.8479,0.9032,0.0
ZXX3,YMOD,0.3,RF,2857,1225,0.9978,0.828,0.5
ZXX3,YMOD,0.3,XGBoost,2857,1225,0.9987,0.8107,0.2
ZXX3,YMOD,0.3,MLP_BP,2857,1225,0.9966,0.5761,9.6
ZXX3,SMOD,0.3,Linear_single,2857,1225,0.9568,0.9183,0.0
ZXX3,SMOD,0.3,RF,2857,1225,0.9986,0.8944,0.5
ZXX3,SMOD,0.3,XGBoost,2857,1225,0.9989,0.8701,0.3
ZXX3,SMOD,0.3,MLP_BP,2857,1225,0.9979,-0.0188,3.9
ZXX3,POIS,0.3,Linear_single,2857,1225,0.9918,0.9605,0.0
ZXX3,POIS,0.3,RF,2857,1225,0.9991,0.9297,0.5
ZXX3,POIS,0.3,XGBoost,2857,1225,0.9942,0.8392,0.2
ZXX3,POIS,0.3,MLP_BP,2857,1225,0.9012,-24.1781,2.9
ZXX3,SHMAX,0.3,Linear_single,2857,1225,0.306,0.2201,0.0
ZXX3,SHMAX,0.3,RF,2857,1225,0.9322,-0.3434,0.5
ZXX3,SHMAX,0.3,XGBoost,2857,1225,0.9259,-0.3411,0.2
ZXX3,SHMAX,0.3,MLP_BP,2857,1225,0.7389,-18.4005,4.3
ZXX6,YMOD,0.3,Linear_single,801,343,0.9529,0.8436,0.0
ZXX6,YMOD,0.3,RF,801,343,0.9942,0.2333,0.4
ZXX6,YMOD,0.3,XGBoost,801,343,0.9991,0.3648,0.2
ZXX6,YMOD,0.3,MLP_BP,801,343,0.9928,-18665.7795,4.2
ZXX6,SMOD,0.3,Linear_single,801,343,0.9074,0.8347,0.0
ZXX6,SMOD,0.3,RF,801,343,0.994,0.2947,0.4
ZXX6,SMOD,0.3,XGBoost,801,343,0.999,0.3884,0.2
ZXX6,SMOD,0.3,MLP_BP,801,343,0.9957,-35000.597,2.1
ZXX6,POIS,0.3,Linear_single,801,343,0.996,0.9136,0.0
ZXX6,POIS,0.3,RF,801,343,0.999,0.7295,0.4
ZXX6,POIS,0.3,XGBoost,801,343,0.9874,0.6183,0.2
ZXX6,POIS,0.3,MLP_BP,801,343,0.943,-365882.7697,3.3
ZXX6,SHMAX,0.3,Linear_single,801,343,0.0528,-0.0164,0.0
ZXX6,SHMAX,0.3,RF,801,343,0.9863,-0.0199,0.4
ZXX6,SHMAX,0.3,XGBoost,801,343,0.9945,-0.0201,0.2
ZXX6,SHMAX,0.3,MLP_BP,801,343,0.9113,-124.8828,3.0
ZXX7,YMOD,0.3,Linear_single,2293,983,0.9461,0.8816,0.0
ZXX7,YMOD,0.3,RF,2293,983,0.9978,0.9369,0.4
ZXX7,YMOD,0.3,XGBoost,2293,983,0.9996,0.8851,0.2
ZXX7,YMOD,0.3,MLP_BP,2293,983,0.9971,-370.1018,3.9
ZXX7,SMOD,0.3,Linear_single,2293,983,0.9527,0.8892,0.0
ZXX7,SMOD,0.3,RF,2293,983,0.9986,0.9417,0.5
