well,target,model,r2_train,r2_test,mae_test,n_train,n_test,formula,well_desens
ZXX3,SMOD,Linear_single,0.9602,0.9044,1.1771,3266,816,-0.2509 * DTS + 47.41,WellB
ZXX3,SMOD,SVR_rbf,0.9986,-0.027,3.2942,3266,816,"SVR(rbf, C=10)",WellB
ZXX3,SMOD,XGBoost,0.9998,0.8527,1.2925,3266,816,"XGBoost(n=200, depth=6)",WellB
ZXX3,SMOD,Poly3,0.9989,0.8909,0.8625,3266,816,"Poly(deg=3, n_terms=285)",WellB
ZXX3,SMOD,Poly2,0.9987,0.9805,0.5053,3266,816,"Poly(deg=2, n_terms=65)",WellB
ZXX3,SMOD,RF,0.9998,0.893,1.1035,3266,816,RF(n=200),WellB
ZXX3,SMOD,MLP_BP,0.9955,0.681,1.8839,3266,816,"MLP-BP(64,32)",WellB
ZXX3,SMOD,Linear_multi,0.9902,-33.4294,12.6003,3266,816,-0.6079*DTC + 0.1156*DTS + 5.041*DEN + -0.005017*GR + -0.0008609*CNL + -0.03823*LLD + 0.07646*LLS + -25.02*RMSC + -0.004531*CAL + -0.001873*AC + 75.81,WellB
ZXX3,SHMAX,Linear_single,0.2466,0.5545,4.1961,3266,816,45.26 * RMSC + 42.8,WellB
ZXX3,SHMAX,SVR_rbf,0.7486,-0.3931,5.4376,3266,816,"SVR(rbf, C=10)",WellB
ZXX3,SHMAX,XGBoost,0.9955,0.3428,4.0666,3266,816,"XGBoost(n=200, depth=6)",WellB
ZXX3,SHMAX,Poly3,0.7283,-280.8058,64.9346,3266,816,"Poly(deg=3, n_terms=285)",WellB
ZXX3,SHMAX,Poly2,0.5743,-10.8049,11.1231,3266,816,"Poly(deg=2, n_terms=65)",WellB
ZXX3,SHMAX,RF,0.9924,0.2936,4.1737,3266,816,RF(n=200),WellB
ZXX3,SHMAX,MLP_BP,0.7292,-23.9374,23.8434,3266,816,"MLP-BP(64,32)",WellB
ZXX3,SHMAX,Linear_multi,0.4064,-2929.2772,145.8385,3266,816,1.997*DTC + -0.8128*DTS + -4.706*DEN + -0.04086*GR + 0.06326*CNL + -0.4222*LLD + 0.8444*LLS + 109.1*RMSC + -0.5903*CAL + 0.04778*AC + -97.16,WellB
ZXX3,YMOD,Linear_single,0.8398,0.9247,3584.8543,3266,816,-1263 * DTC + 1.277e+05,WellB
ZXX3,YMOD,SVR_rbf,0.6024,-0.0357,10156.5336,3266,816,"SVR(rbf, C=10)",WellB
ZXX3,YMOD,XGBoost,0.9998,0.7931,4360.1357,3266,816,"XGBoost(n=200, depth=6)",WellB
ZXX3,YMOD,Poly3,0.9987,0.9001,2238.6485,3266,816,"Poly(deg=3, n_terms=285)",WellB
ZXX3,YMOD,Poly2,0.9985,0.9845,1247.649,3266,816,"Poly(deg=2, n_terms=65)",WellB
ZXX3,YMOD,RF,0.9996,0.8223,4249.2193,3266,816,RF(n=200),WellB
ZXX3,YMOD,MLP_BP,0.9979,0.7408,4300.5786,3266,816,"MLP-BP(64,32)",WellB
ZXX3,YMOD,Linear_multi,0.9907,-25.1291,30180.6753,3266,816,-1327*DTC + 164.1*DTS + 1.304e+04*DEN + -11.48*GR + 2.354*CNL + -92.19*LLD + 184.4*LLS + -4.448e+04*RMSC + -17.78*CAL + -4.124*AC + 1.587e+05,WellB
ZXX3,POIS,Linear_single,0.9925,0.9571,0.006,3266,816,0.3425 * RMSC + -0.3503,WellB
ZXX3,POIS,SVR_rbf,-0.6252,-0.0299,0.0367,3266,816,"SVR(rbf, C=10)",WellB
ZXX3,POIS,XGBoost,0.9995,0.9117,0.0066,3266,816,"XGBoost(n=200, depth=6)",WellB
ZXX3,POIS,Poly3,0.9996,0.8757,0.006,3266,816,"Poly(deg=3, n_terms=285)",WellB
ZXX3,POIS,Poly2,0.9995,0.996,0.0017,3266,816,"Poly(deg=2, n_terms=65)",WellB
ZXX3,POIS,RF,0.9999,0.9374,0.005,3266,816,RF(n=200),WellB
ZXX3,POIS,MLP_BP,-0.9369,-102.8975,0.2662,3266,816,"MLP-BP(64,32)",WellB
