well,target,model,split,r2_train,r2_test,formula,well_desens
ZXX3,SMOD,PySR,OOD,0.9986,0.9994,((687.1306 / (DTS + -39.603275)) + -2.1329703) * DEN,WellB
ZXX3,SHMAX,PySR,OOD,0.1807,0.4468,RMSC * 68.64286,WellB
ZXX3,YMOD,PySR,OOD,0.9984,0.9978,((-7.5019225e6 / (DTS / 31.438822)) * DEN) / ((-116.46385 / RMSC) - (DTS + -64.7196)),WellB
ZXX3,POIS,PySR,OOD,0.9995,0.9998,((-2.9638143 / RMSC) - -2.1267357) / RMSC,WellB
ZXX2,SMOD,PySR,OOD,0.8591,0.4633,((DTC / (-1250.5509 / DTS)) + ((RMSC * -5.245918) + 22.29083)) - (DEN * -3.0975068),WellA
ZXX2,SHMAX,PySR,OOD,0.7592,0.8321,((-1.058707 / LLS) - -175.90143) + ((CNL + DTS) * -0.3778503),WellA
ZXX2,YMOD,PySR,OOD,0.8406,0.9571,((3.3563843e8 / ((1.6425742 / LLS) + DTC)) / DTS) + 6001.3936,WellA
ZXX2,POIS,PySR,OOD,0.9997,0.9994,((-3.015982 / RMSC) - -2.173627) / RMSC,WellA
ZXX7,SMOD,PySR,OOD,0.9994,0.9995,(((757.7159 / (DTS - 40.42858)) + -3.355225) * (DEN * 0.87455577)) + DEN,WellD
ZXX7,SHMAX,PySR,OOD,0.9127,-37993593557.4829,(((DTC / 0.57367563) - GR) * -2.7994628) * (DTS - (GR - CNL)),WellD
ZXX7,YMOD,PySR,OOD,0.9947,0.9715,(DTS * (-2895.532 + (DTS * 8.938052))) + ((DEN * 16504.393) + 218789.55),WellD
ZXX7,POIS,PySR,OOD,0.9935,0.995,(((-2.02123 / (DTS / DTC)) + 1.0900091) / RMSC) + 0.29482532,WellD
ZXX6,SMOD,PySR,OOD,0.9929,0.7765,((DTS * -0.28092703) - (DEN * -6.1396136)) + 34.49578,WellC
ZXX6,SHMAX,PySR,OOD,0.9157,-0.0365,(RMSC * ((DEN * -4.5375595) + (59.63627 - (DTS / -18.818878)))) + (CNL * -0.21030429),WellC
ZXX6,YMOD,PySR,OOD,0.9963,0.9951,(((GR + 31367.688) + (((((DTC + -487.32227) * DTC) - (-30555.922 - (RMSC * -5755.155))) * (132.84103 / DTC)) + DTC)) * DEN) + (0.49135017 - 763.7753),WellC
ZXX6,POIS,PySR,OOD,0.9994,0.9987,((-3.0561342 / RMSC) + 2.2148435) / RMSC,WellC
ZXX3,SMOD,PySR,Random,0.9993,0.9993,DEN * ((719.99976 / (DTS + -37.70976)) - 2.3317435),WellB
ZXX3,SHMAX,PySR,Random,0.5905,0.6136,(((CNL * -0.18852259) - -48.43506) * RMSC) - -43.83805,WellB
ZXX3,YMOD,PySR,Random,0.9978,0.9978,(((25327.975 / DEN) + ((DTS * 124.001656) + -32244.53)) * (239.57208 / (DEN - DTC))) + 14436.932,WellB
ZXX3,POIS,PySR,Random,0.9999,0.9999,((RMSC + -1.4533873) / ((RMSC + RMSC) + -2.0889924)) + 0.037385732,WellB
ZXX2,SMOD,PySR,Random,0.9789,0.9842,(DEN * 376.3053) / (DTS + -59.320988),WellA
ZXX2,SHMAX,PySR,Random,0.9445,0.9556,((-1.3317935 / LLS) + (10410.099 / DTS)) + 42.486134,WellA
ZXX2,YMOD,PySR,Random,0.9749,0.9817,(DEN * ((DTS * 7687.4634) / DTC)) / ((DTS + -43.425564) / 93.2069),WellA
ZXX2,POIS,PySR,Random,0.9998,0.9998,-1.8815302 / ((0.0012631121 - DTC) / (DTC * (0.23368815 - ((((0.90845656 / RMSC) / RMSC) / RMSC) / RMSC)))),WellA
ZXX7,SMOD,PySR,Random,0.9996,0.9995,(DEN * (92372.94 / DTS)) / DTS,WellD
ZXX7,SHMAX,PySR,Random,0.6369,0.6383,LLS - (1054.4047 / LLS),WellD
ZXX7,YMOD,PySR,Random,0.9993,0.999,(1.205398e7 / (((DTC - ((-223.34592 / DEN) - DTS)) - 183.1863) + DTS)) + ((DEN * 7953.083) - 35754.465),WellD
ZXX7,POIS,PySR,Random,0.9976,0.9978,((-3.0342097 / RMSC) + 2.1835315) / RMSC,WellD
ZXX6,SMOD,PySR,Random,0.9995,0.9996,((92375.195 / DTS) / DTS) * DEN,WellC
ZXX6,SHMAX,PySR,Random,0.9346,-88.4059,(CAL - (((DTC + ((LLD / DTC) / (-46.77305 + ((DTC / (DTC + -46.77305)) - DTC)))) / (DTC + -46.77305)) - (DTC / CNL))) * CAL,WellC
ZXX6,YMOD,PySR,Random,0.999,0.9989,((-3701.6545 / ((DTC * 39.647064) + -1863.0929)) + ((((DTS * 10.230051) + -1838.1072) * (-1194.0991 / DTC)) - -4750.251)) * DEN,WellC
ZXX6,POIS,PySR,Random,0.9989,0.9997,((-3.0327525 / RMSC) - -2.2009037) / RMSC,WellC
ZXX3,SMOD,gplearn,OOD,0.9832,0.9196,"(scaled) sub(mul(0.153, DEN), DTS)",WellB
ZXX3,SHMAX,gplearn,OOD,0.4699,-85.6578,"(scaled) div(div(sub(sub(sub(RMSC, mul(CNL, 0.379)), mul(-0.429, DTC)), div(add(add(CAL, mul(add(CAL, mul(-0.429, sub(sub(sub(sub(sub(sub(RMSC, CNL), mul(DEN, sub(add(div(CAL, 1.448), sub(s",WellB
ZXX3,YMOD,gplearn,OOD,0.9853,0.9002,"(scaled) sub(mul(0.165, sub(add(DEN, DTS), DTC)), DTS)",WellB
ZXX3,POIS,gplearn,OOD,0.9931,-6390.8016,"(scaled) div(div(RMSC, div(LLS, LLD)), div(LLS, LLD))",WellB
ZXX2,SMOD,gplearn,OOD,0.8958,0.0662,"(scaled) sub(div(mul(-0.279, mul(1.142, add(sub(div(sub(sub(add(sub(div(mul(-0.279, mul(sub(sub(sub(sub(div(LLD, DTS), DTS), DTS), DTS), DTS), mul(add(LLD, RMSC), RMSC))), 2.512), GR), add(",WellA
ZXX2,SHMAX,gplearn,OOD,0.7721,0.9235,"(scaled) sub(div(add(DTC, add(CNL, LLD)), -2.956), div(div(div(div(div(div(div(div(div(div(div(DTS, 1.087), 1.087), 1.087), 1.087), 1.087), 1.087), 1.087), 1.087), 1.087), 1.087), 1.087))",WellA
ZXX2,YMOD,gplearn,OOD,0.8846,-54.7065,"(scaled) sub(mul(0.219, add(DTS, sub(mul(0.196, add(DTS, add(add(add(mul(DTS, mul(RMSC, LLS)), add(DEN, sub(add(DTS, add(DEN, sub(sub(DTS, add(RMSC, CNL)), DTC))), DTC))), sub(LLS, add(RMSC",WellA
ZXX2,POIS,gplearn,OOD,0.9843,0.8967,(scaled) RMSC,WellA
ZXX7,SMOD,gplearn,OOD,0.942,0.9274,"(scaled) sub(sub(DEN, DTS), DEN)",WellD
