well,target,model,r2_train,r2_test,elapsed_sec
ZXX2,YMOD,Poly2_robust,0.8018,0.0764,0.0
ZXX2,YMOD,Poly3_robust,0.8042,0.4932,0.01
ZXX2,SMOD,Poly2_robust,0.8121,-0.0671,0.0
ZXX2,SMOD,Poly3_robust,0.82,0.2742,0.01
ZXX2,POIS,Poly2_robust,0.8968,0.4531,0.0
ZXX2,POIS,Poly3_robust,0.9081,0.0895,0.01
ZXX2,SHMAX,Poly2_robust,0.7794,-0.2442,0.0
ZXX2,SHMAX,Poly3_robust,0.7906,0.5997,0.01
ZXX3,YMOD,Poly2_robust,0.9586,0.4893,0.01
ZXX3,YMOD,Poly3_robust,0.9462,0.5459,0.01
ZXX3,SMOD,Poly2_robust,0.9615,0.5144,0.0
ZXX3,SMOD,Poly3_robust,0.9502,0.4559,0.01
ZXX3,POIS,Poly2_robust,0.9292,0.5944,0.0
ZXX3,POIS,Poly3_robust,0.9313,0.7045,0.01
ZXX3,SHMAX,Poly2_robust,0.4585,-0.1466,0.0
ZXX3,SHMAX,Poly3_robust,0.4767,-0.5859,0.01
ZXX6,YMOD,Poly2_robust,0.9009,-0.1074,0.0
ZXX6,YMOD,Poly3_robust,0.916,0.4292,0.0
ZXX6,SMOD,Poly2_robust,0.8887,-0.2084,0.0
ZXX6,SMOD,Poly3_robust,0.9058,0.2892,0.0
ZXX6,POIS,Poly2_robust,0.8564,0.5725,0.0
ZXX6,POIS,Poly3_robust,0.8923,0.9388,0.0
ZXX6,SHMAX,Poly2_robust,0.643,0.0175,0.0
ZXX6,SHMAX,Poly3_robust,0.7544,0.5657,0.0
ZXX7,YMOD,Poly2_robust,0.9306,0.45,0.0
ZXX7,YMOD,Poly3_robust,0.9066,0.1796,0.01
ZXX7,SMOD,Poly2_robust,0.9467,0.5044,0.0
ZXX7,SMOD,Poly3_robust,0.9235,-0.0173,0.01
ZXX7,POIS,Poly2_robust,0.8694,-0.1414,0.0
ZXX7,POIS,Poly3_robust,0.9094,-0.0478,0.01
ZXX7,SHMAX,Poly2_robust,0.635,0.3047,0.0
ZXX7,SHMAX,Poly3_robust,0.6543,0.0304,0.01
