well,target,model,split_mode,r2_train,r2_test,mae_test,elapsed_sec,formula
ZXX2,YMOD,Linear_single,random,0.8872,0.9013,2326.2123,0.0,-921.1 * DTC + 1.087e+05
ZXX2,YMOD,Linear_multi,random,0.9588,0.97,1267.5693,0.0,linear_multi
ZXX2,YMOD,Poly2,random,0.9877,0.9909,722.6299,0.0,Poly(deg=2)
ZXX2,YMOD,Poly3,random,0.9915,0.9129,744.4974,0.01,Poly(deg=3)
ZXX2,YMOD,SVR_rbf,random,0.9904,0.9891,709.908,1.24,"SVR(rbf, {'svr__C': 1, 'svr__gamma': 'scale'}, y-scaled)"
ZXX2,YMOD,RF,random,0.9974,0.9959,409.9174,0.42,"RF(n=300, depth=10, leaf=5)"
ZXX2,YMOD,XGBoost,random,0.9966,0.995,487.8549,1.78,"XGB(n=300, depth=4, lr=0.05, reg)"
ZXX2,YMOD,MLP_BP,random,0.9849,0.9845,838.5519,4.56,"MLP-BP(128,64,32, adaptive_lr, ES)"
ZXX2,SMOD,Linear_single,random,0.9034,0.921,0.8981,0.0,-0.2295 * DTS + 45.9
ZXX2,SMOD,Linear_multi,random,0.9668,0.9747,0.5228,0.0,linear_multi
ZXX2,SMOD,Poly2,random,0.9899,0.9926,0.2768,0.0,Poly(deg=2)
ZXX2,SMOD,Poly3,random,0.9925,0.9405,0.2858,0.01,Poly(deg=3)
ZXX2,SMOD,SVR_rbf,random,0.9911,0.9899,0.2753,0.3,"SVR(rbf, {'svr__C': 1, 'svr__gamma': 0.1}, y-scaled)"
ZXX2,SMOD,RF,random,0.9983,0.9973,0.1523,0.36,"RF(n=300, depth=10, leaf=5)"
ZXX2,SMOD,XGBoost,random,0.9973,0.9967,0.1839,0.17,"XGB(n=300, depth=4, lr=0.05, reg)"
ZXX2,SMOD,MLP_BP,random,0.9939,0.9932,0.2388,1.5,"MLP-BP(128,64,32, adaptive_lr, ES)"
ZXX2,POIS,Linear_single,random,0.9623,0.9708,0.0035,0.0,0.3547 * RMSC + -0.3661
ZXX2,POIS,Linear_multi,random,0.9742,0.979,0.003,0.0,linear_multi
ZXX2,POIS,Poly2,random,0.9994,0.9994,0.0005,0.0,Poly(deg=2)
ZXX2,POIS,Poly3,random,0.9999,0.9998,0.0003,0.01,Poly(deg=3)
ZXX2,POIS,SVR_rbf,random,0.9951,0.9951,0.0014,0.1,"SVR(rbf, {'svr__C': 1, 'svr__gamma': 0.1}, y-scaled)"
ZXX2,POIS,RF,random,0.9987,0.9994,0.0002,0.4,"RF(n=300, depth=10, leaf=5)"
ZXX2,POIS,XGBoost,random,0.9983,0.999,0.0003,0.18,"XGB(n=300, depth=4, lr=0.05, reg)"
ZXX2,POIS,MLP_BP,random,0.987,0.9478,0.0037,2.23,"MLP-BP(128,64,32, adaptive_lr, ES)"
ZXX2,SHMAX,Linear_single,random,0.9056,0.924,2.3648,0.0,-0.6121 * DTS + 204.3
ZXX2,SHMAX,Linear_multi,random,0.9505,0.9595,1.6581,0.0,linear_multi
ZXX2,SHMAX,Poly2,random,0.9791,0.9828,1.0846,0.0,Poly(deg=2)
ZXX2,SHMAX,Poly3,random,0.9839,0.8053,1.1945,0.01,Poly(deg=3)
ZXX2,SHMAX,SVR_rbf,random,0.9829,0.9817,1.0301,0.51,"SVR(rbf, {'svr__C': 1, 'svr__gamma': 'scale'}, y-scaled)"
ZXX2,SHMAX,RF,random,0.9966,0.9945,0.5931,0.42,"RF(n=300, depth=10, leaf=5)"
ZXX2,SHMAX,XGBoost,random,0.9943,0.9928,0.7178,0.17,"XGB(n=300, depth=4, lr=0.05, reg)"
