well,target,r2_train,r2_test,formula
WellB,SMOD,0.9984,0.9993,(1983.5317 / ((DTS + 29.426968) - (DEN * 24.522974))) + -6.5151806
WellB,SHMAX,0.1807,0.4469,RMSC * 68.64297
WellB,YMOD,0.998,0.9937,((-0.0072139003 / RMSC) + ((((DTS + (-298.7863 / DEN)) + 177.70152) / DTS) / DTS)) * 4.9235125e6
WellB,POIS,0.9994,0.9996,(-0.05473944 / ((RMSC + -1.1032739) * 0.31520098)) + 0.5161185
WellA,SMOD,0.8742,0.8818,((((2334.3252 / DTS) - (RMSC / 0.3270235)) - 12.61622) - (((DEN * ((2.3450434 / ((DTS - 13.329555) / DTC)) - 3.7602012)) / 0.6284807) + -1.0078826)) * 1.3212954
WellA,SHMAX,0.7887,0.7829,((DTS * -0.37625292) - (CNL / ((DEN - 2.0907688) * 6.2427063))) + 173.43863
WellA,YMOD,0.7915,0.8259,(6.367704e6 / DTS) + -8446.545
WellA,POIS,0.9997,0.9994,((-3.0159948 / RMSC) + 2.1736338) / RMSC
WellD,SMOD,0.9995,0.9997,DEN / (DTS * (DTS / 92373.625))
WellD,SHMAX,0.8726,-37301.6419,((GR - 347.7124) * (CNL + 129.26883)) + 32232.854
WellD,YMOD,0.9985,0.996,(DEN * (-17302.576 - (-2.3687538e6 / ((DTS + DEN) - 30.249458)))) + (-1139.3523 - ((DEN * -4746.7285) * (DTS / DTC)))
WellD,POIS,0.9936,0.9962,(((-2.3195665 / (DTS / DTC)) + 1.4168022) / RMSC) + 0.2054327
WellC,SMOD,0.9966,0.9766,(-1426.6406 / ((-6.113366 - DTS) - (DEN * -20.795698))) + -3.1048136
WellC,SHMAX,0.9226,-0.0428,(AC * ((RMSC * 0.77056384) - 1.2309014)) + ((44.51636 - (AC / (CNL / -0.6362917))) - ((DEN + -8.617002) * 5.9046164))
WellC,YMOD,0.9975,0.9798,(235698.31 - (2067.1594 * DTC)) + (DTS * (-1688.1406 - ((DTC * -13.745813) + (-113.98548 * DEN))))
WellC,POIS,0.9994,0.9988,(RMSC - 1.3798307) / ((RMSC * 0.45152456) * RMSC)
