well,target,r2_train,r2_test,formula
WellB,SMOD,0.9986,0.9994,((687.1306 / (DTS + -39.603275)) + -2.1329703) * DEN
WellB,SHMAX,0.1807,0.4468,RMSC * 68.64286
WellB,YMOD,0.9984,0.9978,((-7.5019225e6 / (DTS / 31.438822)) * DEN) / ((-116.46385 / RMSC) - (DTS + -64.7196))
WellB,POIS,0.9995,0.9998,((-2.9638143 / RMSC) - -2.1267357) / RMSC
WellA,SMOD,0.8591,0.4633,((DTC / (-1250.5509 / DTS)) + ((RMSC * -5.245918) + 22.29083)) - (DEN * -3.0975068)
WellA,SHMAX,0.7592,0.8321,((-1.058707 / LLS) - -175.90143) + ((CNL + DTS) * -0.3778503)
WellA,YMOD,0.8406,0.9571,((3.3563843e8 / ((1.6425742 / LLS) + DTC)) / DTS) + 6001.3936
WellA,POIS,0.9997,0.9994,((-3.015982 / RMSC) - -2.173627) / RMSC
WellD,SMOD,0.9994,0.9995,(((757.7159 / (DTS - 40.42858)) + -3.355225) * (DEN * 0.87455577)) + DEN
WellD,SHMAX,0.9127,-37993593557.4829,(((DTC / 0.57367563) - GR) * -2.7994628) * (DTS - (GR - CNL))
WellD,YMOD,0.9947,0.9715,(DTS * (-2895.532 + (DTS * 8.938052))) + ((DEN * 16504.393) + 218789.55)
WellD,POIS,0.9935,0.995,(((-2.02123 / (DTS / DTC)) + 1.0900091) / RMSC) + 0.29482532
WellC,SMOD,0.9929,0.7765,((DTS * -0.28092703) - (DEN * -6.1396136)) + 34.49578
WellC,SHMAX,0.9157,-0.0365,(RMSC * ((DEN * -4.5375595) + (59.63627 - (DTS / -18.818878)))) + (CNL * -0.21030429)
WellC,YMOD,0.9963,0.9951,(((GR + 31367.688) + (((((DTC + -487.32227) * DTC) - (-30555.922 - (RMSC * -5755.155))) * (132.84103 / DTC)) + DTC)) * DEN) + (0.49135017 - 763.7753)
WellC,POIS,0.9994,0.9987,((-3.0561342 / RMSC) + 2.2148435) / RMSC
