well_desens,target,KAN,Linear_multi,Linear_single,MLP_BP,Poly2,Poly3,PySR,RF,SVR_rbf,XGBoost
WellA,POIS,-20.9636,0.2973,0.8928,-15746.6025,-13944.8895,-120394648419.8244,0.9994,0.8311,-0.2751,0.8166
WellA,SHMAX,-3.7035,-2.5459,0.6782,-10531.2248,-8226089.3813,-27245257457583.445,0.7829,0.3166,-1.0673,0.223
WellA,SMOD,-1.3718,-0.4632,0.5068,-95.7004,-4421352.9354,-40863371027104.84,0.8818,0.4055,-0.5833,0.4723
WellA,YMOD,0.1007,-0.4908,0.6993,-558.4353,-4812816.8704,-45141652712809.63,0.8259,0.4279,-0.2968,0.5974
WellB,POIS,0.8993,0.8346,0.9571,-102.8975,0.996,0.8757,0.9996,0.9374,-0.0299,0.9117
WellB,SHMAX,-8.8527,-2929.2772,0.5545,-23.9374,-10.8049,-280.8058,0.4469,0.2936,-0.3931,0.3428
WellB,SMOD,0.4635,-33.4294,0.9044,0.681,0.9805,0.8909,0.9993,0.893,-0.027,0.8527
WellB,YMOD,0.7902,-25.1291,0.9247,0.7408,0.9845,0.9001,0.9937,0.8223,-0.0357,0.7931
WellC,POIS,-213.7087,0.1606,0.8803,-129342.3332,-378928.3175,-855820174772.7706,0.9988,0.6926,-0.2779,0.705
WellC,SHMAX,0.066,-0.0106,0.0714,-23.2645,-2893.0538,-25278041911.5024,-0.0428,-0.0288,-0.0267,-0.0288
WellC,SMOD,-165.6531,-55.7191,0.7748,-6281.4008,-322891.3648,-1002111665216.7466,0.9766,0.1161,-1.2576,0.1404
WellC,YMOD,-317.9799,-32.1172,0.7806,-4696.4645,-214720.6866,-497574925779.8774,0.9798,0.0902,-1.3654,0.1122
WellD,POIS,-0.9916,-16.1962,0.9083,-13404.8958,-476247.2506,-44710468963.159,0.9962,0.9406,-0.0359,0.8511
WellD,SHMAX,-47.8348,-37596.7693,-0.1668,-51236.4741,-53998599881.0137,-203777109878232.94,-37301.6419,-12.4347,-0.0298,-12.2055
WellD,SMOD,0.9278,-28.7903,0.9337,-456.2078,-414230.1353,-17062541002509.326,0.9997,0.9,0.0742,0.9533
WellD,YMOD,0.9643,-11.9834,0.9072,-129.1032,-237380.3071,-16212080614087.19,0.996,0.9275,0.0235,0.9463
